date,text
22-11-21,당사는 자료공표일 현재 해당 기업과 관련하여 특별한 이해관계가 없습니다
22-11-21,동 자료의 금융투자분석사와 배우자는 자료공표일 현재 대상법인의 주식관련 금융투자상품 권리를 보유하고 있지 않습니다
22-11-21,종목 투자등급 Guide Line 투자기간 12개월 절대수익률 기준 투자등급 4단계Strong Buy Buy Hold Sell로 구분한다   Strong Buy 30이상 Buy 10이상 Hold 1010 Sell 10이하로 구분   업종 투자등급 Guide Line 투자기간 12개월 시가총액 대비 업종 비중 기준의 투자등급 3단계Overweight Neutral Underweight로 구분    2월21일부터 당사 투자등급이 기존 3단계  2단계에서 4단계로 변경 본 자료는 투자자의 투자를 권유할 목적으로 작성된 것이 아니라 투자자의 투자판단에 참고가 정보제공을 목적으로 작성된 참고 자료입니다
22-11-21,본 자료는 금융투자분석사가 신뢰할만 하다고 판단되는 자료와 정보에 만들어진 것이지만 당사와 금융투자분석사가 정확성이나 완전성을 보장할 수는 없습니다
22-11-21,따라서 본 자료를 참고한 투자자의 투자의사결정은 전적으로 투자자 자신의 판단과 책임하에 이루어져야 하며 당사는 본 자료의 내용에 행해진 일체의 투자행위 책임도 지지 않습니다
22-11-21,또한 본 자료는 당사 투자자에게만 제공되는 자료로 당사의 동의 없이 본 자료를 무단으로 복제 전송 인용 배포하는 행위는 법으로 금지되어 있습니다
,기업분석제약바이오 Analyst 강하나 02 3779 8808 kangx687ebestseccokr       Buy maintain 목표주가 현재주가  컨센서스  대비   상회     부합  하회   Stock Data KOSPI1026 시가총액 발행주식수 52주  최고가최저가 90일  일평균거래대금 외국인  지분율 배당수익률2212E BPS2212E  pt  억원  천주    원4908  억원  원KOSPI 대비 상대수익률 1개월 6개월 12개월 삼성물산  외  5인국민연금공단  외  1인삼성바이오로직스우리사주  외  1인주주구성   744 5609 Stock Price    10월  27일 삼성바이오로직스          3Q22 Review  기댈  곳은  너뿐이구나  3Q22 Review  환율효과와  product mix  극대화   3Q22  실적은  연결  기준  937  yoy  340  qoq  영업이익  940  yoy  913  qoq으로  어닝  서프라이즈를  기록했다
,높아진  컨센서스보다도 호실적을 기록한 1달러 강세로 매출액에 환율 효과가 반영되었으며 원료는 파트너사 공급으로 비용 상승 상쇄하였고 2제품믹스 개선 휴미라 바이오시밀러 FDA허가에 따른 마일스톤약 이 유입되었기 때문이다
,2Q22와 3Q22가 full 캐파였음에도 매출액 고성장의 1고객사와 제품에 판매량에 차이가 있었고 2판가와 생산성이 높은 제품dp가 크게 증가비율 확대 덕분이다
,순이익은 환율로 인한 금융손실이 반영되며 20 yoy 150 qoq으로 컨센서스를 하회했다
