date,text
22-11-21,Company Report                    셀트리온   제약바이오 바이오시밀러  시장  확대의  대표  수혜  기업   항체  의약품들의  특허  만료 바이오  시밀러도  제네릭  의약품과  마찬가지로  오리지널  의약품의  특허가  만료된  이후  출시가 가능하다
22-11-21,현재  항체  바이오  시밀러  의약품은  7개의  성분이  출시되었으며  엔브렐  휴미라의 특허  문제로  미국  판매가  되지   있으며  루센티스  바이오  시밀러  출시가   되지  않은  점을   레미케이드와  제넨텍  항체  의약품  3종허셉틴  아바스틴  리툭산이  항체  바이오시밀러 시장 전체를 구성하고  있었다
22-11-21,23년부터  휴미라미국을  시작으로  스텔라라  아일리아   항체  의약품  특허  만료가  지속될 예정으로 바이오 시밀러 품목이  다양해지면서 시밀러 시장이 고성장을 시작할 전망이다
22-11-21,미국  직판과  IRA  법안 셀트리온 헬스케어가 유럽에 이어 미국에서도 파트너사를 통한  판매 전략에서 직접 판매로 변경할  예정이다
22-11-21,분기마다  셀트리온  헬스케어와  판매  금액  변동에  따른  추가  정산이  이루어지는  특성상  직접  판매  정산에  따른  셀트리온  헬스케어  이익율  증가는  헬스케어와  셀트리온  이익 증가로 이어질 것으로  판단한다
22-11-21,IRA  법안  시행으로  27년까지  바이오  시밀러  처방에  대한  추가  급여  상향68으로  직접적인  바이오  시밀러  사용이  확대되는   장기  독점  블록버스터에  대한  CMS  약가  협상권 부여로 바이오 시밀러 출시  시기는 현재보다 단축될 것으로  예상한다
22-11-21,목표 주가는 미국 직판이 안정화에  접어들  것으로  예상되는  24년  예상  순이익    타겟  PE  40배셀트리온 1H  2월 평균 PE 50에서 20 할인해서 산출했다
22-11-21,다수의  바이오  시밀러  개발  파이프라인을  보유하고  있어  특허  만료  시점에  맞춰  바이오시밀러를  출시하는  퍼스트  무버  전략이   작용할  것으로  기대하며  특허  만료로  인한  바이오 시밀러  시장  성장에서   파이프라인  보유로  가장  큰  수혜를  입을   있을  것으로  판단한 다
22-11-21,당사는 자료공표일 현재 해당 기업과 관련하여 특별한 이해관계가 없습니다
22-11-21,동 자료의 금융투자분석사와 배우자는 자료공표일 현재 대상법인의 주식관련 금융투자상품 권리를 보유하고 있지 않습니다
22-11-21,종목 투자등급 Guide Line 투자기간 12개월 절대수익률 기준 투자등급 4단계Strong Buy Buy Hold Sell로 구분한다   Strong Buy 30이상 Buy 10이상 Hold 1010 Sell 10이하로 구분   업종 투자등급 Guide Line 투자기간 12개월 시가총액 대비 업종 비중 기준의 투자등급 3단계Overweight Neutral Underweight로 구분    2월21일부터 당사 투자등급이 기존 3단계  2단계에서 4단계로 변경 본 자료는 투자자의 투자를 권유할 목적으로 작성된 것이 아니라 투자자의 투자판단에 참고가 정보제공을 목적으로 작성된 참고 자료입니다
22-11-21,본 자료는 금융투자분석사가 신뢰할만 하다고 판단되는 자료와 정보에 만들어진 것이지만 당사와 금융투자분석사가 정확성이나 완전성을 보장할 수는 없습니다
22-11-21,따라서 본 자료를 참고한 투자자의 투자의사결정은 전적으로 투자자 자신의 판단과 책임하에 이루어져야 하며 당사는 본 자료의 내용에 행해진 일체의 투자행위 책임도 지지 않습니다
22-11-21,또한 본 자료는 당사 투자자에게만 제공되는 자료로 당사의 동의 없이 본 자료를 무단으로 복제 전송 인용 배포하는 행위는 법으로 금지되어 있습니다
2022년 11월 10일, 11월 10일 기업 코멘트    셀트리온   바이오시밀러  중심의  성장을  시현한  3분기   Buy유지 목표주가  현재 주가1109  Analyst 김형수 knkhshanwhacom   RA 유영솔 youngsolyuhanwhacom  셀트리온의 3분기 연결기준 잠정실적은 60의 가까운 매출 성장을 시현했습니다
2022년 11월 10일,셀트리온USA 매각관련 미실현수익이 일회성으로  발생된  매출이  반영되어  시장기대치를  상회하였습니다
2022년 11월 10일,전문학회를  중심으로  학술마케팅이  활발했던 3 분기로 판단됩니다
2022년 11월 10일,바이오시밀러와 케미칼의약품이 3분기 성장을 견인   셀트리온은 연결기준 3분기 잠정실적으로 매출액  원YoY 606과 영업이익  원YoY 281을 발표했다
2022년 11월 10일,지난 8월 5일 셀트리온헬스케어에 100 지분을 처분한 Celltrion USA Inc 매각 관련 미실현 수익이 기타매출    원에  일회성으로  반영되어  매출액은  당리서치  추정치보다  566억   높게  나왔다
2022년 11월 10일,별도  기준  셀트리온의 3분기 실적은 매출액  원YoY 362과 영업이익  원YoY 177을 시현했다
2022년 11월 10일,3분기  호실적은  바이오시밀러와  케미컬  부문이  성장을  견인했다
2022년 11월 10일,바이오시밀러  부문에서  램시마IV는    매출로  전년동기대비  888  증가했으며  허쥬마는  775억  원YoY  으로  크게  증가했다
2022년 11월 10일,케미칼의약품  사업부의 다케다 인수 품목 중심으로 전년동기대비 53 성장한  원의 매출을 시현했다
2022년 11월 10일,동사는 지난 10월  오스트리아  빈에서 열린 유럽장질환학회UEGW United  European Gastroenterology Week에서 램시마SC와  유플라이마휴미라  바이오시밀러의  연구결과를  발표해  실제  의료진들이  해당의약품을  처방하는  것에 과학적  근거를  제공했다
2022년 11월 10일,9월에  개최된  유럽피부과학회UADB  European  Academy  of  Dermatology  and Venereology에서는  스텔라라  바이오시밀러  CTP43의  글로벌  임상  3상  28주  결과를  발표해  품목  허가에  대한  기대감을 높였다
2022년 11월 10일,투자의견 BUY 목표주가  유지   동사에  대한  투자의견  Buy와  목표주가  을  유지한다
2022년 11월 10일,빠르게  바이오시밀러를  출시할   있는  역량과  의료진에게 학술 마케팅 경쟁력도 강화되고 있는 부분이 매력적으로 판단된다
2022년 10월 21일, 10월 21일 기업분석    셀트리온   바이오시밀러  중심으로  돌아온  3분기  Analyst 김형수 knkhshanwhacom   RA 유영솔 youngsolyuhanwhacom   Buy 유지 목표주가유지    코로나 19 진단키트 사업을 셀트리온헬스케어에 넘김에 3 분기 셀트리온의  실적은  바이오시밀러를  중심으로  구성될  전망입니다
2022년 10월 21일,상반기 회손된 수익성이 개선되는 호실적의 3 분기를 예상합니다
2022년 10월 21일,현재 주가1020 상승여력 시가총액 발행주식수 52 최고가  최저가 90 일평균 거래대금 외국인 지분율  주주 구성 셀트리온홀딩스 외 74 인 국민연금공단 외 1 인 자사주 외 1 인   주가수익률 절대수익률  399  주     214   228 74 20 1개월 23  3개월 68  6개월  12개월 202  75  상대수익률KOSPI 40  03  259  62  단위 십억 원 원  배 2020 1849  2021 1912  719  892  518  757  971  579  2022E 2383  778  1004  2023E 2545  925  1158  666  749  3688  100  4119  518  4773  225  5370  364  955  144  555  00  171  481  70  282  04  160  359  57  238  04  163  319  49  205  04  164  재무정보 매출액 영업이익 EBITDA 지배주주순이익 EPS 순차입금 PER PBR EVEBITDA 배당수익률 ROE   주가 추이   바이오실러 중심으로 돌아온 3분기 셀트리온의  3분기  예상실적은  매출액    원YoY  469과  영업이익  원YoY 263 OPM 352을 전망한다
2022년 10월 21일,코로나19 진단키트  사업을  담당했던  Celltrion  USA  Inc의  지분을  셀트리온헬스케어에  8월  5일  전량  처분지분율  100  처분금액  176억  원함에  따라  상반기  동사의  수익성을  회손시켰던  진단키트  매출이  줄어상반기   3분기 155억 원들어 수익성이 회복되는 분기로 판단한다
2022년 10월 21일,3분기 셀트리온헬스케어향 단일판매공급계약 공시에 나타난 공급금액은    원으로  전분기  원  대비  108  감소했다
2022년 10월 21일,하지만  완제의약품DP  공정  등의  매출을  포함하면  바이오시밀러  매출액은    원으로  전분기  원  대비  33  늘어날  전망이다
2022년 10월 21일,미국과 유럽에서 시장점유율을 꾸준하게 확대하고 있는 램시마IV 매출이  원YoY 262으로 분기 매출 성장을 견인할 예정이다
2022년 10월 21일,바이오신약 개발을 위한 투자에 주목 동사는  9월  20일  미국의  바이오텍  에이비프로로부터  유방암을  적응증으로   이중항체 신약후보물질ABP102을 도입했다
2022년 10월 21일,이어  10월 17일  피노바이오라는  국내  바이오텍으로부터  링커페이로드  플랫폼  기술  실시  옵션  도입계약을  체결했다
2022년 10월 21일,현재까지  바이오시밀러  항암제  3종트룩시마  허쥬마  베그젤마을  연구개발한  경험을  바탕으로  항체항암제 개발을 시도하는 전략으로 판단된다
2022년 10월 21일,투자의견 Buy 목표주가 24만 유지 바이오시밀러  중심으로  3분기  호실적이  예상되는  동사에  대한  투자의견 Buy와 목표주가 24만 원을 유지한다
22/10/12,Analyst 이달미 talmiskscokr   Company Data 자본금 발행주식수 자사주 액면가 시가총액 주요주주 셀트리온홀딩스외74 국민연금공단 외국인지분률 배당수익률  Stock Data 주가 KOSPI 52주 Beta 52주 최고가 52주 최저가 60일 평균 거래대금 1408 억원  만주 0 만주 1000  억원  2280 740 2120 040    pt 090   732 억원 주가 상대수익률  원셀트리온KOSPI 대비 상대수익률주가상승률  절대주가  상대주가 25 1개월 251 6개월 12개월 12 103 19 250 셀트리온 KS매수유지TP  원하향 램시마 IV 2022 3 분기 실적 성장세를 견인할 전망  3Q22 실적은 영업이익 2176 억원327YoY으로 시장 컨센서스와 유사 전망  2 분기 성장을 견인했던 램시마IV 3 분기에도 성장세 견인을 이어갈 전망  환율상승 효과로 양호한 이익성장세 예상  2024 가동 예정인 3 공장은 다품종소량생산 가능 효율성을 더욱 높일 예정  Multiple 하향 조정하여 목표주가  원으로 하향 투자의견 매수 유지  2022 3 분기 실적 Preview 동사의 2022 3 분기 실적은 매출액 6045 억원508YoY 영업이익 2176 억원327YoY이 전망 시장 컨센서스와 유사한 실적 시현이 예상된다
22/10/12,지난 9 월말 기준 동사가 공시한 3 분기 단일판매공급계약은 총 4105 억원 이는 DS 포함된 금액이다
22/10/12,DP 포함하게 되면 지난 2 분기와 비슷한 수준이 될 전망이다
22/10/12,2 분기 이익성장을 견인했던 램시마 IV 3 분기에도 비중이 늘어날 예정 일부 론자 CMO 물량이 있으나 환율상승 효과로 OPM 하락분을 상쇄하며 양호한 이익성장이 예상된다
22/10/12,2024 11 3 공장 오픈 예정 동사는 현재 12 공장을 보유 중 1 공장 capa 는 10 만리터 2 공장은 9 만리터 총 19 만리터 capa 보유중이다
22/10/12,현재 공장은 풀가동 중 일부 부족한 capa 론자에 CMO로 맡기고 있다
22/10/12,3 공장을 신설 중인데 총 6 만리터 수준의 공장을 건축 중 에 완공하여 validation 거친 뒤 2024 년에 가동될 예정이다
22/10/12,기존 공장들은 리터 대형 리액터가 들어가 있는 반면 3 공장은 7500 리터 8 라인이 들어가 다품종소량생산이 가능하여 효율성을 더욱 높일 예정 장기적인 성장이 가능하다는 판단이다
22/10/12,투자의견 매수와 목표주가  하향 실적조정은 미미하나 글로벌 금리인상에 따른 매크로 변수로 인한 주가하락으로 동사에 적용한 기존 multiple 10 할인한 50 배를 적용하여 목표주가를  원에서  원으로 하향 조정한다
22/10/12,바이오시밀러 시장에서 선두주자의 지위에 있으며 지속적인 신제품 출시로 인한 성장세가 긍정적 투자의견 매수를 유지한다
22/10/12,영업실적 투자지표 구분 매출액 yoy 단위 억원  억원  yoy 억원 EBITDA 억원 세전이익 순이익지배주주  억원 영업이익 영업이익률 EBITDA 순이익률 EPS계속사업 PER PBR EVEBITDA ROE 순차입금 부채비율    배 배 배  억원  2019  149 3815 181 5353 3820 3010 338 474 267 2151 811 89 455 115 1285 344 2020  639 7186 883 8924 6572 5178 389 483 284 3691 955 150 557 171 1004 465 2021  34 7569 53 9710 7513 5795 396 508 312 4122 480 71 278 160 5180 401 2022E  253 7905 44  8558 6981 330 425 293 4960 333 54 224 170 5441 427 2023E  130 9874 249   8595 365 451 319 6107 270 46 183 183  386 2024E  107  168   9974 385 463 334 7086 233 39 156 180  346 SK Company Analysis Analyst  이달미  talmiskscokr   셀트리온의 종합 ESG 평가 등급 변화 추이  Peer 그룹과의 ESG 평가 등급 비교 ESG  하이라이트 AAAABBB AAAAAABBBBBBCCC자료 지속가능발전소 SK 증권     코렌텍 종합 등급 환경Environment 사회Social 지배구조Governance 비교업체 종합 등급  삼성바이오로직스 셀트리온헬스케어 SK 바이오사이언스 에스티팜 바이넥스 지속가능발전소 Refinitiv Bloomberg A 548  523  483     501  410  NA 445  381  C C C D    B D NA NA NA 408  156  267  799     689  443  641  NA NA   자료 지속가능발전소 Bloomberg Refinitiv SK 증권  SK 증권 리서치의 셀트리온 ESG 평가   셀트리온의 ESG 채권 발행 내역   발행일 세부 섹터 NA NA 발행규모 백만원 NA 표면금리  NA 지배구조 개선을 위해 3 합병을 발표하였다
22/10/12,아직 구체적인 시기는 나오지 않았으나 지배구조 개선을 위해 노력하고 있다
22/08/08, 셀트리온   하반기에도  좋은  실적  예상  추가상승  기대됨 2Q22 리뷰  바닥  찍고 확실하게 올라왔다
22/08/08,셀트리온은  2분기  연결기준  매출액  yoy  381  영업이익  yoy  303을  발표했다
22/08/08,당사  추정치를   141  92  상회하며  어닝  서프라이즈를  시현했다
22/08/08,본업인 바이오시밀러  매출액이  크게  늘어났으며  영업이익률   1분기  258에서  2분기  334로  크게  상승하며  과거수준을  회복했다
22/08/08,1분기  자사공장의  렉키로나  생산  등으로  인해  위탁생산에  의존했던 램시마IV를 올해는 자사공장에서 직접 생산하며 원가율이 크게 개선되었다
22/08/08,2분기는 호실적에 기저효과가 더해지며 20년 3분기 이후 최대의 성장률을 기록했고 1분기 바닥을 찍고 올라오는 그림을 제대로 보여줬다
22/08/08,하반기도  호실적 기대된다
22/08/08,램시마IV램시마SC가 새로운 성장동력이 될  것 여기에  더해  우리는  하반기에도  2분기와   호실적을  기대한다
22/08/08,램시마IV램시마SC가  동사의 새로운  성장동력으로  작용하고  있기  때문이다
22/08/08,램시마SC는  최근  1년간   분기  성장률이  약 40에  달했으며  이제는  유럽  5개국  시장점유율이  91까지  올라왔다
22/08/08,고성장에   램시마SC의  판매  볼륨이  점점  커지면서  이제는  셀트리온헬스케어와  동사의  실적에  본격적으로  기여하기 시작할  것으로 보인다
22/08/08,미국에서의 램시마IV도 시장의 예상보다  매우 빠른  속도로  성장하여  전년동기  20  수준이었던  시장점유율이  올해  2분기  기준  30가  넘어섰다
22/08/08,동사는   실적발표에서 자체공장CMO를   사용하더라도  램시마의  수요를  맞추기  쉽지  않은  상황이라고  언급하기도 했다
22/08/08,셀트리온헬스케어의  램시마SC  재고수준은 약 6천억원  수준으로  추정되나  지금과   성장성을 감안할 하반기 동사의 램시마SC의 매출도 추가로 기대할 있겠다
22/08/08,투자의견  매수  목표가  유지 셀트리온에   투자의견  매수   목표가  을  유지한다
22/08/08,이제  동사  주가  변동은  하반기에도  고실적이  유지될  것인지에  달려있다
22/08/08,현재  램시마램시마SC가  성장을  견인함과   베그젤마 판매도 시작되고 있으며 유플라이마 램시마SC가 내년 미국에 출시된다
22/08/08,성장의 여지가 충분하다고 판단되며 하반기에도 긍정적인 실적 주가상승이 기대된다
22/08/05,Analyst 이달미 talmiskscokr   Company Data 자본금 발행주식수 자사주 액면가 시가총액 주요주주 셀트리온홀딩스외75 국민연금공단 외국인지분률 배당수익률  Stock Data 주가 KOSPI 52주 Beta 52주 최고가 52주 최저가 60일 평균 거래대금 1407 억원  만주 288 만주 1000  억원  2281 626 2070 040    pt 104   790 억원 주가 상대수익률  셀트리온KOSPI 대비 상대수익률20원주가상승률  절대주가  상대주가 12 1개월 372 6개월 12개월 19 77 243 254 셀트리온 KS매수유지TP  원상향 바이오의약품 매출비중 상승으로 2022 2 분기 어닝 서프라이즈 시현  2022 2 분기 영업이익 1990 억원219Yo 시현으로 시장 컨센서스를 상회  램시마의 고성장세에 따른 원가개선 다케다 매출인식이 실적성장세를 견인  2022 하반기에는 램시마SC 성장에 따른 이익개선세가 예상  리뉴얼된 TI 제품 출시로 인한 GPM 개선 신제품 출시로 장기 성장세 가능할 전망  목표주가  원으로 상향조정 투자의견 매수 유지하며 최선호주 추천  2022 2 분기 실적 Review 동사의 2022 2 분기 실적은 매출액 5961 억원381YoY 영업이익 1990 억원219YoY OPM 334 기록 시장 컨센서스를 134 상회하는 어닝 서프라이즈를 시현하였다
22/08/05,이익성장의 원인은 1 램시마IV 미국 고성장세 2 램시마IV 1 공장 생산분 판매로 매출총이익률이 전분기 대비 47p 개선 3 다케다 제약 인수 제품 매출인식 되면서 케미칼 매출이 성장세를 견인하였기 때문이다
22/08/05,2022 하반기에도 램시마 SC 성장세에 따른 이익 개선세 전망 하반기에는 고마진 제품인 램시마 SC 대한 기대가 높다
22/08/05,현재 유럽에서 가파르게 증가하며  램시마 유럽  시장점유율이  전분기대비  06p  상승한  5231Q22를 기록  미국에서는  전분기대비  33p  상승한  3081Q22를  기록  하반기에도  점유율  상승에 따른 이익 증가세가 예상된다
22/08/05,지난 6 EULAR 학회에서 램시마SC 대한 임상3 상 결과가 공개 오리지널 대비 비열등성과 치료 효율성을 확인 기대감이 크다
22/08/05,목표주가  원으로 상향 투자의견 매수 유지 실적발표를 토대로 동사의 2022 년 2023 영업이익을 88 80 상향하고 이에 EPS 는 88 126 상향 조정되었다
22/08/05,실적 상향조정과 기존 적용 multiple 30 할인을 제거 55 배를 적용하여 기존 목표주가  원에서 40 상향한  원으로 상향 조정 투자의견 매수를 유지한다
22/08/05,기존 제품에서 리뉴얼된 TITiter Improvement 출시에 따른 원가개선 하반기 아바스틴 유럽 출시를 시작으로 스텔라라 아일리아 바이오시밀러 신제품 출시 긍정적 최선호주로 추천한다
