date,text,pos_tagged
2022-12-02 19:09:00,양산개 문재앙이 선 넘지말라고 아가리터니깐,"[('양산', 'Noun'), ('개', 'Suffix'), ('문', 'Modifier'), ('재앙', 'Noun'), ('이', 'Josa'), ('선', 'Noun'), ('넘지말라고', 'Verb'), ('아가', 'Noun'), ('리터', 'Noun'), ('니깐', 'Josa')]"
2022-12-02 19:07:00,다들평단 올려봐라,"[('다', 'Adverb'), ('들', 'Verb'), ('평단', 'Noun'), ('올려', 'Verb'), ('봐라', 'Verb')]"
2022-12-02 19:06:00,네이버부동산,"[('네이버', 'Noun'), ('부동산', 'Noun')]"
2022-12-02 18:51:00,윤무식이,"[('윤무', 'Noun'), ('식이', 'Noun')]"
2022-12-02 18:35:00,오늘 진입했어요 산타랠리 부탁해요,"[('오늘', 'Noun'), ('진입', 'Noun'), ('했어요', 'Verb'), ('산타랠리', 'Noun'), ('부탁', 'Noun'), ('해요', 'Verb')]"
2022-12-02 17:41:00,년말 다가오고  산타렐리,"[('년말', 'Noun'), ('다가오고', 'Verb'), ('산타', 'Noun'), ('렐리', 'Noun')]"
2022-12-02 17:33:00,너를 해야,"[('너', 'Noun'), ('를', 'Josa'), ('해야', 'Verb')]"
2022-12-02 16:14:00,주식도 자연의 섭리입니다,"[('주식', 'Noun'), ('도', 'Josa'), ('자연', 'Noun'), ('의', 'Josa'), ('섭리', 'Noun'), ('입니다', 'Adjective')]"
2022-12-02 16:08:00,장이 폭락해서 힘드시죠 최고의 기술적 분석으로 시장 전망해 드립니다 고수 환영,"[('장이', 'Suffix'), ('폭락', 'Noun'), ('해서', 'Verb'), ('힘드시죠', 'Adjective'), ('최고', 'Noun'), ('의', 'Josa'), ('기술', 'Noun'), ('적', 'Suffix'), ('분석', 'Noun'), ('으로', 'Josa'), ('시장', 'Noun'), ('전망', 'Noun'), ('해', 'Verb'), ('드립니다', 'Verb'), ('고수', 'Noun'), ('환영', 'Noun')]"
2022-12-02 16:07:00,아하방 열리는갑다,"[('아하', 'Noun'), ('방', 'Noun'), ('열리는', 'Verb'), ('갑다', 'Verb')]"
2022-12-02 15:59:00,네이버의 미래는 7글자로 정리된다,"[('네이버', 'Noun'), ('의', 'Josa'), ('미래', 'Noun'), ('는', 'Josa'), ('7', 'Number'), ('글자', 'Noun'), ('로', 'Josa'), ('정리', 'Noun'), ('된다', 'Verb')]"
2022-12-02 15:49:00,진지하게 네이버가 문제인 이유,"[('진지하게', 'Adjective'), ('네이버', 'Noun'), ('가', 'Josa'), ('문제', 'Noun'), ('인', 'Josa'), ('이유', 'Noun')]"
2022-12-02 15:46:00,형들아,"[('형', 'Noun'), ('들', 'Suffix'), ('아', 'Josa')]"
2022-12-02 16:18:00,형들아,"[('형', 'Noun'), ('들', 'Suffix'), ('아', 'Josa')]"
2022-12-02 15:42:00,대표 넌 연봉 1원으로 꼭 해라 심려말라,"[('대표', 'Noun'), ('넌', 'Noun'), ('연봉', 'Noun'), ('1원', 'Number'), ('으로', 'Foreign'), ('꼭', 'Noun'), ('해', 'Noun'), ('라', 'Josa'), ('심려', 'Noun'), ('말라', 'Adjective')]"
2022-12-02 15:42:00,멍멍,"[('멍멍', 'Adverb')]"
2022-12-02 15:41:00,수급도 흐름도 실망스럽군,"[('수급', 'Noun'), ('도', 'Josa'), ('흐름', 'Noun'), ('도', 'Josa'), ('실망', 'Noun'), ('스럽군', 'Adjective')]"
2022-12-02 15:39:00,최가가  물러나지 않는한,"[('최', 'Noun'), ('가가', 'Noun'), ('물러나지', 'Verb'), ('않는한', 'Verb')]"
2022-12-02 15:37:00,시외 올리고 월욜 하락 예상,"[('시외', 'Noun'), ('올리고', 'Verb'), ('월욜', 'Noun'), ('하락', 'Noun'), ('예상', 'Noun')]"
2022-12-02 15:30:00,180000 와라,"[('180000', 'Number'), ('와라', 'Verb')]"
2022-12-02 15:26:00,네카오가 못가는 이유,"[('네', 'Determiner'), ('카', 'Noun'), ('오가', 'Verb'), ('못', 'VerbPrefix'), ('가는', 'Verb'), ('이유', 'Noun')]"
2022-12-02 15:25:00,진심 얘는 팔고나서 제일 안심되는 주식,"[('진심', 'Noun'), ('얘', 'Noun'), ('는', 'Josa'), ('팔고', 'Noun'), ('나서', 'Verb'), ('제일', 'Noun'), ('안심', 'Noun'), ('되는', 'Verb'), ('주식', 'Noun')]"
2022-12-02 15:19:00,왠일로 버티나 했더니,"[('왠', 'Modifier'), ('일로', 'Noun'), ('버티나', 'Verb'), ('했더니', 'Verb')]"
2022-12-02 15:18:00,이게 나라냐,"[('이', 'Noun'), ('게', 'Josa'), ('나라', 'Noun'), ('냐', 'Josa')]"
2022-12-02 15:11:00,애휴 잡것,"[('애', 'Noun'), ('휴', 'Exclamation'), ('잡것', 'Noun')]"
2022-12-02 15:08:00,어제는,"[('어제', 'Noun'), ('는', 'Josa')]"
