date,text
2022-12-11 01:20:00,Sk바이오팜 인수합병 적극 투자
2022-12-10 23:12:00,이동훈 사장
2022-12-10 13:47:00,1차
2022-12-10 10:48:00,SK바이오팜 조정우 사장  기업가치 20조 엔 50조로 키울 것
2022-12-10 01:23:00,세계에서 주식 제일 잘하는 할배다
2022-12-09 20:34:00,켄들멘
2022-12-10 00:05:00,캔디 관심도 주지마
2022-12-10 17:36:00,캔디 관심도 주지마
2022-12-09 14:57:00,푸틴과 세노바메이트
2022-12-09 13:02:00,5천원에삼
2022-12-09 12:49:00,쌓아놓은물량
2022-12-09 12:23:00,팜
2022-12-09 11:34:00,적자회사가 시총이 5조가 넘어
2022-12-09 11:21:00,너무 없어
2022-12-09 10:01:00,화이팅SK  태원아SK보유주 양심있으면  소각해라
2022-12-09 10:00:00,폭탄 공매도 랠리
2022-12-09 09:59:00,상승후 횡보
2022-12-09 09:57:00,유럽 판매
2022-12-09 09:57:00,대박 뉴스공시에도 이러긴가
2022-12-09 09:08:00,매출 호재에도 버벅거리네
2022-12-09 08:54:00,아주 좋은 흐름에 호재와 흑자 예상실적
2022-12-09 09:49:00,아주 좋은 흐름에 호재와 흑자 예상실적
2022-12-09 08:26:00,엿
2022-12-08 21:57:00,SK존  일만 하네주가올리먼 주식팔어 수조원 땡기고
2022-12-08 20:00:00,종목을 못 선택한 잘못이지만
2022-12-08 14:18:00,이제 올라갈자리는 맞는데
2022-12-08 14:15:00,2년 넘은 주주인데
2022-12-09 09:48:00,저도 고인물입니다만 바팜 적자라
2022-12-08 14:06:00,6따리부터가자
2022-12-08 13:20:00,충격 SK 지분 넘 높네
2022-12-08 12:50:00,팜은 언젠가
2022-12-08 12:49:00,완벽한 계단식하락
2022-12-08 12:35:00,빨리던져
2022-12-08 12:11:00,왜계속
2022-12-08 10:40:00,공시내고
2022-12-08 09:35:00,긍정적인 뉴스가 많은데
2022-12-08 10:02:00,오너리스크
2022-12-08 12:37:00,긍정적인 뉴스가 많은데
2022-12-08 08:02:00,하이닉스 10조 철회
2022-12-07 10:47:00,태원이형
2022-12-07 09:49:00,하방이냐
2022-12-07 09:38:00,SK바이오팜 블록딜로 1조원 확보4대 분야 투자 확대
2022-12-07 09:30:00,블럭딜나온다 디질준비해라
2022-12-07 06:58:00,세노바 된다니까 글로벌 히트 의약품1개는
2022-12-07 03:13:00,12층
2022-12-06 14:39:00,sk바이오팜 ATM출금기
2022-12-06 13:08:00,문잠겨
2022-12-06 13:05:00,졸병들무리
2022-12-06 12:48:00,뉴스도 좋은데
2022-12-06 12:44:00,애미야 국이짜다
2022-12-06 12:41:00,기다리기 지친다
2022-12-06 12:25:00,왜이래
2022-12-06 11:01:00,2년간 물려있는 고인물 형아다
2022-12-06 09:02:00,장초에 외인 사는척 개미 달라붙으면
2022-12-06 04:52:00,신용 들아 개박상 준비해라
2022-12-05 12:58:00,그리형제요
2022-12-05 12:52:00,그리님 그래용
2022-12-05 11:58:00,외국인 차익실현 엄청나네
2022-12-05 11:40:00,누르는거야
2022-12-02 16:21:00,Cbal 미들어오네
2022-12-02 16:18:00,미 법인 신약 엑스코프리 발표
2022-12-02 14:20:00,연기금
2022-12-02 11:58:00,다들 맛점
2022-12-02 11:42:00,KB증권
2022-12-02 10:57:00,바팜
2022-12-02 10:05:00,쓰레기
2022-12-02 09:18:00,당분간 주식창 닫고
2022-12-02 09:11:00,단기 고점 낮아진다
2022-12-01 23:47:00,오늘내린건
2022-12-01 18:04:00,역행
2022-12-01 16:55:00,선수 교체라
2022-12-01 15:39:00,하락신호를 알리는 음봉이네
2022-12-01 15:03:00,짜증나네
2022-12-01 13:33:00,최태원
2022-12-01 13:30:00,사장바뀌고
2022-12-01 13:24:00,뭐고 선수교체 인데
2022-12-01 13:16:00,조사장 진짜 옷 벗었네
2022-12-01 12:12:00,올랐다고 빼냐
2022-12-01 11:54:00,까고 자빠졌네
2022-12-01 10:46:00,Boong sin 몇명만 나오면 추락이네
2022-12-01 09:53:00,올라갈때 전쟁 치루고 내리는건 자이로드롭
2022-12-01 09:42:00,드럽게 잘쳐내리네
2022-12-01 09:14:00,찬티 설치니 이놈만 안올라
2022-12-01 03:18:00,주린아 인쟈 느덜이 누를  날도 머지 않았데이
2022-12-01 03:11:00,여그서 반토막에 입성 예정
2022-12-01 01:09:00,삼성바이오로직스  올라가듯이가네
2022-12-01 08:29:00,요런 애덜때문에 못오르자
2022-11-30 23:58:00,팁공유네이버에서 navertee 치시면
2022-11-30 15:27:00,동시호가에  만주 넘겠다
2022-11-30 15:24:00,단기 반등끝
2022-11-30 15:05:00,74를 참다니 크게 될 넘이네
2022-11-30 14:32:00,20만원 사신분 있나요
2022-11-30 13:13:00,Gree님 위한바팜 뮤직 큐
2022-11-30 12:51:00,인간지표 gree
2022-11-30 12:07:00,주가 바사하고 뒤집어지겟네
2022-11-30 11:27:00,Gree님 심심해서  lees c b 걸어서
2022-11-30 11:20:00,이쁘네
2022-11-30 11:18:00,747 못참지
2022-11-30 11:13:00,lees  알았다6만에 진입후
2022-11-30 11:04:00,아래서 기다리죠 뭐  알람 설정해습니다
2022-11-30 10:51:00,17만원에
2022-11-30 10:45:00,lees 나올줄 알았다 계산들어간다
2022-11-30 10:29:00,74는 못참지
2022-11-30 10:09:00,팜
2022-11-30 10:26:00,삭제된 게시물의 답글8만원 이상에만 매도해야지
2022-11-30 09:15:00,예언 해봄
2022-11-30 09:09:00,오늘도 진정한 매수세가 없다
2022-11-30 08:45:00,잡주
2022-11-29 23:29:00,재벌아들 보고
2022-11-29 16:18:00,금년은 배당주나요
2022-11-29 15:26:00,개미인내력 태스트
2022-11-29 14:17:00,깨미들
2022-11-29 11:26:00,최저점에서 50정도 상승했다
2022-11-29 07:22:00,오늘 시원하게
2022-11-28 16:13:00,진득하게
2022-11-28 15:38:00,위대한 현자는 말햇지
2022-11-28 12:51:00,여기가 찐인데 Sk바사에 물린 애덜 불쌍타
2022-11-28 12:25:00,여기는 다들
2022-11-28 11:57:00,팜  사이언스 합병해야
2022-11-28 11:01:00,너는 좋겠다
2022-11-28 10:59:00,애두롸 싸울꺼면 톡방파고 둘이 싸워
2022-11-28 10:10:00,팜
2022-11-28 09:53:00,근데 이거 올라가도 다시내려와야함
2022-11-28 09:27:00,팜
2022-11-28 09:23:00,개소리라면 흘려주시고
2022-11-28 01:53:00,안정감봐라 정배다  산타래릴이후로우상향
2022-11-28 01:52:00,산타랠리계속우상향이다
2022-11-26 19:31:00,뉴비 들 왜이래 많냐
2022-11-25 10:08:00,팜
2022-11-25 11:05:00,팜
2022-11-25 09:14:00,신한매수강
2022-11-25 07:59:00,유투버들 돈 빠라먹을려고 하는거지
2022-11-24 17:20:00,바사에서 너머왔다
2022-11-24 16:31:00,태원아
2022-11-24 16:15:00,폭등
2022-11-24 15:08:00,바팜 알쟤
2022-11-24 14:44:00,거래량이 너무 읍다
2022-11-24 14:05:00,올해까지 10만원가면 좋으련만
2022-11-24 11:27:00,미국 FDA지원 받으면 엄청 혜택 아닌가
2022-11-24 12:41:00,미국 FDA지원 받으면 엄청 혜택 아닌가
2022-11-24 08:55:00,개잡주 상폐예정 끄익
2022-11-23 17:34:00,희귀 의약품이
2022-11-23 16:10:00,미국에서 희귀의약품으로 지정했으면 상한번 쳐야지
2022-11-23 12:50:00,FDA  희귀 의약품지정 30만원 가즈아정말 대단한 성과
2022-11-23 14:51:00,FDA  희귀 의약품지정 30만원 가즈아정말 대단한 성과
2022-11-23 12:04:00,sk가 악재를 이기는 건 본적없다
2022-11-23 11:44:00,빨리 차트 대가리 못들면
2022-11-23 11:24:00,신약나왔는데
2022-11-23 10:09:00,큰 형 사이언스 퐁락
2022-11-23 09:43:00,꼭대기에 꼭대기에 꼭대기에 꼭대기였네
2022-11-23 09:08:00,어제 반등자리에서 매수
2022-11-23 09:03:00,공매
2022-11-23 05:22:00,팜은시작도 안했다
2022-11-22 21:53:00,삭제된 게시물의 답글세계적으로  SK바이오는 한참아래임
2022-11-22 22:08:00,삭제된 게시물의 답글세계적으로  SK바이오는 한참아래임
2022-11-22 18:11:00,갈길가는 주식이다
2022-11-22 16:57:00,봄인가벼
2022-11-22 16:34:00,시작이가 낼은 6자 12월은 5자가
2022-11-22 16:27:00,글로벌경쟁업체 뇌전증신약
2022-11-22 15:16:00,한달내내 올랐으니 이틀 조정당연한거지
2022-11-22 15:27:00,뉴비지 바팜 쓴맛을 못봤지
2022-11-22 15:04:00,공매견
2022-11-22 14:12:00,엿 같네
2022-11-22 13:57:00,역시쓰레기네
2022-11-22 13:57:00,시바견
2022-11-22 13:47:00,떨어지는 칼날인가요
2022-11-22 13:14:00,개미들만 주구장창
2022-11-22 12:31:00,바팜 알쟤
2022-11-22 16:24:00,바팜 알쟤
2022-11-22 11:39:00,주택담보 10시대
2022-11-22 11:33:00,웃겨죽겠네
2022-11-22 11:23:00,메리츠
2022-11-22 10:36:00,지랄 시장
2022-11-22 10:35:00,깨미들
2022-11-22 10:32:00,76에 던지길 잘했네요
2022-11-22 10:27:00,지루하다
2022-11-22 09:49:00,장이 너무 안좋음
2022-11-21 21:59:00,개미는
2022-11-21 19:50:00,오늘공매도비율25프로넘기네요
2022-11-21 15:59:00,내일도 공매도  치니까
2022-11-21 16:02:00,내일도 공매도  치니까
2022-11-21 15:58:00,공매도 쳐네요
2022-11-21 15:12:00,바팜 알쟤
2022-11-21 15:04:00,뉴비들아 바팜은 장투
2022-11-21 14:55:00,못 타신분들 승차하세요
2022-11-21 14:47:00,동시호가
2022-11-21 14:08:00,어서와
2022-11-21 13:37:00,매수 vs 공매도네요
2022-11-21 13:35:00,똥칠
2022-11-21 13:15:00,정말
2022-11-21 13:11:00,팜팜아 더떨어져주라
2022-11-21 13:04:00,이미 그분들은 익숙한 광경
2022-11-21 12:56:00,기다리다 보면
2022-11-21 12:56:00,물렸네
2022-11-21 12:38:00,싼타랠리는 개뿔
2022-11-21 12:15:00,이제 6만원대로 돌아오겠네
2022-11-21 11:33:00,개잡주
2022-11-21 11:27:00,고인물들은 너무 이당해서
2022-11-21 11:08:00,종필아
2022-11-21 11:00:00,참내 웃기는 놈들이네
2022-11-21 10:56:00,120일선 조정까진OK닷  수급만 덜 꼬이길
2022-11-21 10:53:00,형도 2년째  물린 고인물 맞는데
2022-11-21 10:53:00,하락 시작 구간
2022-11-21 10:49:00,투신보험금투
2022-11-21 10:42:00,뒷통수조심하길
2022-11-21 10:21:00,우왕
2022-11-21 10:10:00,개인다 끄지라
2022-11-21 10:07:00,형이 말했지 그리 설치면 주가 고점
2022-11-21 10:07:00,개인만
2022-11-21 10:54:00,개인만
2022-11-21 09:55:00,신한매도
2022-11-21 09:27:00,원래
2022-11-21 09:30:00,원래
2022-11-21 09:20:00,급등 가능성
2022-11-21 08:34:00,상한가 가자
2022-11-20 17:27:00,낼개폭락
2022-11-20 17:35:00,낼개폭락
2022-11-20 17:41:00,낼개폭락
2022-11-20 05:43:00,이쁘게잘간다  굳
2022-11-20 02:45:00,아직 멀었다
2022-11-19 19:57:00,삭제된 게시물의 답글월요일 좆댔다
2022-11-19 11:39:00,개미들만 쳐 팔아대는데 니네가 기관이면
2022-11-19 09:12:00,사이언스를 보는 듯외국인 기관이 정신없이 사들이고 있네
2022-11-19 08:42:00,14만 돌려놔
2022-11-19 05:31:00,빠가사리들
2022-11-18 21:24:00,일부 차익실현
2022-11-18 18:01:00,그리  도 모르는게 설치나
2022-11-18 16:56:00,오늘 절반 손절하고 나니깐
2022-11-19 03:35:00,오늘 절반 손절하고 나니깐
2022-11-21 06:36:00,오늘 절반 손절하고 나니깐
2022-11-21 06:33:00,오늘 절반 손절하고 나니깐
2022-11-19 16:53:00,오늘 절반 손절하고 나니깐
2022-11-18 16:01:00,졸라 빡치는소식은
2022-11-18 14:45:00,오래전 준하님 소식은들을수가
2022-11-18 15:34:00,오래전 준하님 소식은들을수가
2022-11-18 14:41:00,좋은말 형이다
2022-11-18 14:14:00,아직 갈길이 멀다
2022-11-18 13:55:00,Greeperb 놈 설치는거 보니
2022-11-18 13:50:00,15에서 절반 손절했다
2022-11-18 13:46:00,사라는놈들은 밑에서 산놈들이다
2022-11-18 13:45:00,나이스 맨날 맨날 오르네 굿
2022-11-18 13:44:00,궁금한점
2022-11-18 13:43:00,풀미수로 한번도 손실 나질 않네요
2022-11-18 13:34:00,상한가 함 밀어주세요 손익이 마이너스지만
2022-11-18 13:33:00,지화자
2022-11-18 13:31:00,빼앗긴 들에도
2022-11-18 13:31:00,오늘이
2022-11-18 13:21:00,20만원 넘었던 종목 개미들의 무덤
2022-11-18 13:04:00,오늘8자볼수도
2022-11-18 12:57:00,푸하하 드뎌 뚫는다
2022-11-18 12:48:00,고점 조금씩 올리는거 보이지
2022-11-18 12:37:00,78 뚫즈아
2022-11-18 12:32:00,바팜에서 돈버는게 젤 쉬움
2022-11-18 11:58:00,오늘 위로 함 뚫자
2022-11-18 11:53:00,17층
2022-11-18 11:47:00,호가창 조위 꼭대기 가격 보이죠
2022-11-18 11:42:00,팜
2022-11-18 11:23:00,수익실현인가
2022-11-18 11:11:00,오늘도 풀미수로 300
2022-11-18 10:56:00,팜
2022-11-18 10:51:00,sk바이오삼
2022-11-18 10:50:00,팜
2022-11-18 10:33:00,네움시티
2022-11-18 10:26:00,좋아아주좋아가격조정아닌기간조정들어가고
2022-11-18 09:24:00,드뎌 jp 물량 나온다 이것만 받아내면 컨텀점프 가능
2022-11-18 09:02:00,신한매도
2022-11-18 09:02:00,바이오 성공시대
2022-11-18 08:45:00,오늘은
2022-11-17 20:38:00,엔 바이오주의 해
2022-11-17 20:14:00,외인기관 지속 매수중인데 뭐가 두려운가
2022-11-17 18:30:00,흔들흔들
2022-11-17 17:39:00,글래스티엠
2022-11-17 16:17:00,머지않아
2022-11-17 15:41:00,공매도가 많은데
2022-11-17 15:42:00,형이 오늘 300주 추가로 받았다
2022-11-17 15:16:00,머 메가리없이 질질 흘러내려
2022-11-17 14:23:00,삭제된 게시물의 답글오늘 공매 총 거래량 26 예상
2022-11-17 14:48:00,삭제된 게시물의 답글손모가지 인증 못하면서    하네
2022-11-17 13:35:00,가자
2022-11-17 13:22:00,오늘은까지만
2022-11-17 13:17:00,와
2022-11-17 13:03:00,오늘도 외인들 매수
2022-11-17 11:37:00,시총6조 따라갑니다 성님
2022-11-17 10:52:00,종필아
2022-11-17 10:41:00,올리다 말어
2022-11-17 10:35:00,마
2022-11-17 10:32:00,공견들은 이거 봐봐라
2022-11-17 10:26:00,팜
2022-11-17 10:24:00,회복력 모임
2022-11-17 10:24:00,삭제된 게시물의 답글다 튀어  긴급 대피 개미살려
2022-11-16 23:31:00,오늘도 풀미수로 1800 벌었다
2022-11-16 22:25:00,바팜에서 돈 많다고 자랑질
2022-11-16 19:01:00,내일부터 상한가상승릴레이기관외인
2022-11-17 07:34:00,내일부터 상한가상승릴레이기관외인
2022-11-16 18:38:00,KB증권 공매도 고발 거래 자제 요청
2022-11-16 18:22:00,오늘도 개미샤끼들만 탈탈탈
2022-11-16 17:51:00,러시아 폴란드발 잘봐야함
2022-11-16 14:24:00,골드만삭스 매수창구 일등
2022-11-16 13:51:00,공매도 금지 청원 동참 합시다
2022-11-16 13:50:00,오늘은까지만
2022-11-16 13:26:00,127층 울고있어요
2022-11-16 13:10:00,아랫기둥 올리고 골드만 매수
2022-11-16 12:59:00,골드만 매수
2022-11-16 12:52:00,금투매도
2022-11-16 12:39:00,왕의귀환
2022-11-16 11:53:00,골드만두 산다 공매는 끝
2022-11-16 11:42:00,개미만 팔고 있음
2022-11-16 11:41:00,힘내  더더더 물린 주주들 다 탈출
2022-11-16 11:39:00,외인들듀 다 사고 있는데 개미만 탈탈탈
2022-11-16 11:42:00,외인들듀 다 사고 있는데 개미만 탈탈탈
2022-11-16 10:57:00,신한매도
2022-11-16 10:17:00,10만원 찍고 블록딜 4만원
2022-11-16 10:16:00,호가가 얇아서 그런거니 약해빠진 개미가 털면
2022-11-16 10:10:00,이제빠지네 좀걸리겟네
