date,text
2022-12-11 14:32:00,운외창천
2022-12-11 12:48:00,팩트 대상포진 초대박 희소식입니다
2022-12-11 11:39:00,목표주가 오른 종목 2 종목 뿐
2022-12-11 10:48:00,삼성바이오로직스 다우존스 지속가능경영 월드 지수 2년 연속 편입
2022-12-11 11:10:00,주가는계속 하락임
2022-12-11 09:25:00,한동후니가 종국엔 본인독자적인을 길을 갈수바께없고 가야하는 본인이 살기위한 고육지책
2022-12-11 09:21:00,지금까지 코로나치료제는 없었다 세계 최초 코로나 롱코비드 임상 세계 최초 HPV 연구자 임상 세계 최초 범용치료제 300명 임상완료
2022-12-11 09:15:00,통의 황태자 한도후니결국 거니씨 강신업이 한테도 훈수 받는 신세인가
2022-12-11 09:06:00,한국축구 꼰대감독들과 벤투갈등
2022-12-11 06:42:00,지금까지 코로나치료제는 없었다 세계 최초 코로나 롱코비드 임상 세계 최초 HPV 연구자 임상 세계 최초 범용치료제 대차해지는 필수
2022-12-11 09:09:00,무너지고있는종목에서
2022-12-11 02:20:00,야들아 야들아 주가 넘 빠졌다 사야 할때다
2022-12-11 09:11:00,아주 염장을 질러라
2022-12-10 11:48:00,월장 빠질지 겝하락이면
2022-12-10 10:32:00,Peac야  기관과 외인이 점령군이 된듯
2022-12-10 10:09:00,peac는 개미핥기 나팔수
2022-12-10 09:31:00,삼바동지들 소나기는피해야
2022-12-10 09:20:00,미국장 장막판에 급락마감
2022-12-09 19:41:00,침략자를 동맹이라는 매국노들
2022-12-10 09:23:00,똥무는 어데서 왔찌비날래날래
2022-12-09 17:31:00,단일가에 또빠지네요
2022-12-09 16:27:00,헤드 앤 숄더
2022-12-09 17:33:00,헤드 앤 숄더 제대로쓰셔요
2022-12-09 17:45:00,외쪽어깨보다오른쪽어깨가
2022-12-09 15:20:00,공매형들 진짜 실망했따 내가 공개 분할매수  공언했는데 물량뺏길까 안하냐
2022-12-09 14:23:00,종목교체하셔요 뛰는종목으로
2022-12-09 14:15:00,모하고있냐구요 여기서
2022-12-09 12:54:00,오늘도
2022-12-09 12:35:00,peac 꺼져 주세요
2022-12-09 12:11:00,손대네
2022-12-09 11:27:00,떨어지면 반등할까
2022-12-09 11:21:00,모하냐구요 여기서
2022-12-09 11:02:00,Naver  엔씨 jypent
2022-12-09 10:40:00,공매형들 이정도 흔들어서 개미물량 털어먹겠어 전문가답게 제대로 흔들어보자
2022-12-09 10:17:00,엄동설한
2022-12-09 10:08:00,잇는놈들이더하다
2022-12-09 10:07:00,내년 상반기까지 희망 버리시기를
2022-12-09 09:47:00,공매형들 화났어 기분나빠
2022-12-09 09:47:00,내글참고했으면얼마나좋으냐구요
2022-12-09 10:01:00,피쓰님 주식못하는거 다 알아요
2022-12-09 09:37:00,오늘도 개미만 열나게 매수하니
2022-12-09 09:29:00,갭매꿔러내려온다
2022-12-09 09:24:00,공매도쉑히덜 어설프게 깝치다 젓될거 같지 느꼈지
2022-12-09 09:17:00,이왕내려온거
2022-12-09 09:06:00,오전장에는
2022-12-09 09:02:00,글치 움직임이 예상대로군 쌈바에 공매도 때리는 띨띨한 쉑히덜
2022-12-09 08:49:00,자자 형이 공매도쉑히덜이 전저점 테스트  분할매수 예고하면
2022-12-09 08:29:00,장 시작한다 오늘도 침착하게 관망해보자 공매도쉑히덜 움직임 관찰하다
2022-12-09 08:22:00,개금찰 한동후 김거니 등이백만가즈아
2022-12-09 08:18:00,신고가 돌파임박 종목
2022-12-09 08:12:00,자 삼바  Naver 엔씨 비교
2022-12-09 08:07:00,조만간 박영수는 곽상도처럼 날라갈거라본다 이 살고 검찰조직이 살려면 박영수 골로보낼수바께 없다고 본다
2022-12-09 07:55:00,삼바야 오늘은그래도 함주라
2022-12-09 07:38:00,검찰이 뭉갠 대장동 비자금 42억 박영수측에도 갔다뉴스타파 박영수  한동후니
2022-12-08 22:27:00,제2의페니실린세계 첫 범용항바이러스제 탄생임박
2022-12-08 20:57:00,조정 진행중 인가요
2022-12-08 18:36:00,시외단일가를 보더라도
2022-12-08 17:14:00,삭제된 게시물의 답글몬소린지
2022-12-08 15:33:00,내말들었 으면손실
2022-12-08 15:21:00,이건 그냥
2022-12-08 14:51:00,오늘도 개미들만 열심히 사는구먼
2022-12-08 14:35:00,칠십만윈대 진입구간 도달 알림
2022-12-08 14:23:00,삼바 너
2022-12-08 14:19:00,92만원 매수한 1인
2022-12-08 14:18:00,다음주 목요일오면 7375 사이에서
2022-12-08 13:45:00,종지 막판에올라 올텐데
2022-12-08 13:24:00,회사 망했냐
2022-12-08 13:18:00,내년 5월에
2022-12-08 13:02:00,홀딩
2022-12-08 12:52:00,종지는 막판에 쫌올라올듯
2022-12-08 12:41:00,언능탈출하셔요 손실
2022-12-08 11:10:00,삼바는 개인 보유율이 2미만
2022-12-08 12:04:00,몬소린지
2022-12-08 11:09:00,이젠80만 지지하느냐
2022-12-08 11:09:00,높은 성장률이 주가를 정당화 했던 거 같네요
2022-12-08 10:31:00,5만원 간다
2022-12-08 10:32:00,장난놀지마셔요 지금
2022-12-08 10:25:00,올해마지막 옵션일이라
2022-12-08 10:22:00,52주 최저
2022-12-08 10:18:00,언능탈출하셔요 버티면
2022-12-08 10:18:00,저주의신한투자증권
2022-12-08 10:10:00,일단80만지킬수있을지 이게
2022-12-08 10:08:00,추세가 완존히 무너지네요
2022-12-08 10:04:00,삭제된 게시물의 답글손실 키우려고
