date,text
2022.0,업  목  적비     고1   의약 생명과학 관련 연구 개발 생산 매매 투자사업2   의약품 원료의약품 의약부외품 의약중간체 의료기기 의료용구 위생용품의 제조 가공 매매 수출입사업3   지식 정보 권리 무형자산의 라이선스 매매 용역사업4   신기술 또는 신사업 관련 투자 관리 운영사업 창업지원사업아 계열회사의 총수 주요 계열회사의 명칭 상장여부계열회사에 사항은 동 보고서 IX 계열회사 등에 사항을 참조하시기 바랍니다
2022.0,최대주주의 변동 당사의 최대주주는 SK주식회사로서 설립일부터 보고서 작성기준일까지 변동된 사실이 없습니다
2022.0,상세한 내용은  VII 주주에 사항을 참조하시기 바랍니다
2022.0,마 회사가 화의 회사정리절차 이에 준하는 절차를 밟은 적이 있거나 현재 진행중인 내용과 결과 보고서 작성기준일 현재 해당사항이 없습니다
2022.0,날짜구분내용 04월 01일SK바이오텍 주식회사단순 물적분할SK바이오텍 주식회사 분할 개요구분내 용분할법인 상호국문명  SK바이오텍 주식회사영문명  SK Biotek Co Ltd분할대상부문CMSCustom Manufacturing Service 사업부문목적CMS사업부문을 분할하여 사업의 전문성 제고 경영의 효율성 강화이사회결의일 3월 12일분할기일 4월 1일본점소재지대전광역시 유성구 엑스포로 325원촌동공고방법신설회사의 인터넷 홈페이지 wwwskbiotekcom에 게재함 전산장애 또는 밖의 부득이한 사유로 분할되는 회사의 인터넷 홈페이지에 공고를 없을 때에는 서울특별시내에서 발행되는 서울신문에 게재함발행할 주식의 총수주1주의 금액500원발행한 주식의 총수기명식 보통주 주주1 분할 이후  2월 25일 SK와 주식매매계약을 체결하고 당사가 보유하고 있는 SK바이오텍의 지분 전량을 매각하였습니다
2022.0,아 경영활동과 관련된 중요한 사항의 발생내용 설립 이후 당사의 경영활동과 관련된 중요한 사항의 발생내용은 아래와 같습니다
2022.0,연 도연 혁신약 개발 RD 착수 YKP10A 국내 기업 최초로 FDA로부터 IND 획득카리스바메이트 FDA로부터 IND 획득세노바메이트 FDA로부터 IND 획득렐레노프라이드 FDA로부터 IND 획득SK에서 Life Science 사업부문을 물적분할하여 SK바이오팜 설립  04월 01일SKLPSY 중국 Medicilon과 기술수출 계약 체결솔리암페톨 미국 Aerial Biopharma와 기술수출 계약 체결세노바메이트 범부처전주기신약개발사업 지원 과제 선정렐레노프라이드 범부처전주기신약개발사업 지원 과제 선정SKLPSY 중국 PKU International HealthCare Group Medicilon과 공동 개발 계약 체결솔리암페톨 미국 Jazz Pharmaceuticals가 Aerial Biopharma로부터 상업화 권리 인수원료의약품의약중간체 사업부문을 물적분할하여 SK바이오텍 설립SK바이오텍 지분100 SK에 매각처분금액 SKL FDA로부터 IND 획득카리스바메이트 FDA로부터 희귀 의약품 지정솔리암페톨 Jazz Pharmaceuticals가 FDA에 NDA 제출SKL 범부처전주기신약개발사업 지원 과제 선정Glycyx Therapeutics Ltd와의 합작 법인 Kinisi Therapeutics Ltd 기술수출 계약 체결세노바메이트 FDA에 NDA 제출세노바메이트 Arvelle Therapeutics GmbH와 유럽 지역 상업화를 위한 기술수출 계약 체결솔리암페톨 FDA로부터 NDA 승인 획득제품명 SUNOSI 판매 개시세노바메이트 FDA로부터 NDA 승인 획득제품명 XCOPRI솔리암페톨제품명 SUNOSI 유럽 신약판매허가 승인 판매개시세노바메이트제품명 XCOPRI DEADrug Enforcement Administration 마약단속국로부터스케줄 평가 완료 등급  Schedule V세노바메이트 유럽의약청EMA 허가 심사 개시세노바메이트제품명 XCOPRI 미국 시장 출시유가증권시장 상장세노바메이트 오노약품공업과 일본 지역 상업화를 위한 기술수출 계약 체결Arvelle Therapeutics BV 주식 Angelini Pharma SpA에 매각세노바메이트 유럽연합집행위원EC 최종판매허가 획득세노바메이트제품명 ONTOZRY 유럽 시장 출시솔리암페톨제품명 SUNOSI 캐나다 시장 출시중국시장 진출 Ignis Therapeutics 설립 CoFounder로서 1대주주 지분확보Endo Ventures Limited 캐나다 상업화 계약 체결 Dexcel Ltd사와 이스라엘 상업화 계약 체결Eurofarma Laboratorios SA와 라틴아메리카 지역 상업화 계약 체결3 자본금 변동사항 기업공시서식 작성기준에 분기보고서에는 해당항목을 기재하지 않으며 관련 내용은  3월 16일에 제출된 도 사업보고서를 참고하시기 바랍니다
2022.0,4 주식의 총수 기업공시서식 작성기준에 분기보고서에는 해당항목을 기재하지 않으며 관련 내용은  3월 16일에 제출된 도 사업보고서를 참고하시기 바랍니다
2022.0,5 정관에 사항 기업공시서식 작성기준에 분기보고서에는 해당항목을 기재하지 않으며 관련 내용은  3월 16일에 제출된 도 사업보고서를 참고하시기 바랍니다
2022.0,II 사업의 내용1 사업의 개요당사는  SK그룹의 차세대 성장동력 발굴을 위해 신약 연구 개발을 시작했으며 특히 거대한 글로벌 신약 시장을 타겟으로 중추신경계 분야 특히 뇌전증 분야의 혁신 신약 개발에 집중 해 왔습니다
