date,text
2022.0,평가일평가대상 유가증권 등평가대상 유가증권의신용등급평가회사신용평가등급범위평가구분제 61 62회 무보증 사모사채한국기업평가 AAAD수시평가제 61 62회 무보증 사모사채한국기업평가 AAAD수시평가제 61 62회 무보증 사모사채한국신용평가 AAAD수시평가제 71 72회 무보증 공모사채A한국신용평가 AAAD본평가제 71 72회 무보증 공모사채A한국기업평가 AAAD본평가제 71 72회 무보증 공모사채AA한국기업평가 AAAD정기평가제 71 72회 무보증 공모사채AA한국신용평가 AAAD정기평가 제61 62회 무보증 사모사채의 신용등급은 평가계약상 미공시조건에 기재하지 않았습니다
2022.0,신용평가회사의 신용등급체계 한국신용평가  회사채회사채의 평가등급은 원리금 지급능력의 AAA부터 D까지 10개등급으로 분류됩니다
2022.0,등급 AAA부터 BBB까지는 원리금 상환능력이 인정되는투자등급이며 BB에서 C까지는 환경변화에 크게 영향을 받는 투기등급으로분류됩니다
2022.0,등급회사채 등급의 정의AAA원리금 지급능력이 최상급임AA원리금 지급능력이 매우 우수하지만 AAA의 채권보다는 열위임A원리금 지급능력은 우수하지만 상위등급보다 경제여건 환경악화에따른 영향을 받기 쉬운 면이 있음BBB원리금 지급능력이 양호하지만 상위등급에 비해서 경제여건 환경악화에 장래 원리금의 지급능력이 저하될 가능성을 내포하고 있음BB원리금 지급능력이 당장은 문제가 되지 않으나 장래 안전에 대해서는단언할 없는 투기적인 요소를 내포하고 있음B원리금 지급능력이 결핍되어 투기적이며 불황시에 이자지급이 확실하지 않음CCC원리금 지급에 현재에도 불안요소가 있으며 채무불이행의위험이 커 매우 투기적임CC상위등급에 비하여 불안요소가 더욱 큼C채무불이행의 위험성이 높고 원리금 상환능력이 없음D상환 불능상태임 상기 등급 AA부터 B등급까지는   부호를 부가하여 동일 등급내에서의   우열을 나타냅니다
2022.0,AA원리금 지급확실성이 매우 높지만 AAA 등급에 비하여 낮은 요소가 있다
2022.0,A원리금 지급확실성이 높지만 장래의 환경변화에 다소의 영향을 받을 가능성이 있다
2022.0,BBB원리금 지급확실성이 있지만 장래의 환경변화에 저하될 가능성이 내포되어 있다
2022.0,BB원리금 지급능력에 당면문제는 없으나 장래의 안정성면에서는 투기적인 요소가 내포되어 있다
2022.0,CCC원리금의 채무불이행이 발생할 위험요소가 내포되어 있다
2022.0,CC원리금의 채무불이행이 발생할 가능성이 높다
2022.0,C원리금의 채무불이행이 발생할 가능성이 지극히 높다
2022.0,AA부터 B까지는 동일 등급내에서 세분하여 구분할 필요가 있는 경우에는    또는 의 기호를 부여할 있다
2022.0,자주 소비 고인천광역시 연수구 송도동 750 시험생산동 104비호설립인천광역시 연수구 송도동 1721 송도테크노파크 아이티센터 엠동 3003호인천광역시 연수구 송도동 인천광역시 연수구 첨단대로 125 송도동 삼성바이오로직스도로명 주소로 변경인천광역시 연수구 송도바이오대로 300 송도동 삼성바이오로직스도로명 주소 변경나 경영진 감사의 중요한 변동1 대표이사의 변경  12월 16일 존림  대표이사  선임  12월 16일 제10차 이사회에서 김태한 사내이사는 대표이사 직위를 사임하였으며 존림 사내이사가 대표이사로 신규 선임되었습니다
2022.0,2 주요 경영진의 변동변동일자주총종류선임임기만료또는 해임신규재선임 03월 22일정기주총사외이사 허근녕사내이사 김동중사외이사 정석우사외이사 권순조사외이사 윤병철 03월 20일정기주총사내이사 존림사외이사 김유니스경희사내이사 김태한 03월 29일정기주총사외이사 이창우사외이사 박재완사내이사 김동중사외이사 허근녕사외이사 정석우사외이사 권순조보고서 제출일 현재 당사의 이사회는 사내이사 3인김태한 존림 김동중 사외이사4인허근녕 김유니스경희 이창우 박재완 총 7인의 이사로 구성되어 있습니다
2022.0,최대주주의 변동일 자변경전변경후비 고삼성에버랜드삼성전자 제일모직삼성전자최대주주 사명변경 제일모직삼성전자삼성물산 제일모직과  삼성물산의 합병 후 제일모직이 삼성물산으로 사명 변경라 상호의 변경해당사항 없습니다
2022.0,마 회사가 화의 회사정리절차 이에 준하는 절차를밟은 적이 있거나 현재 진행 중인 내용과 결과해당사항 없습니다
2022.0,바 회사가 합병 등을 내용 1 삼성바이오에피스 지분 양도   Biogen Therapeutics Inc는 당사와의 주주간 약정에 당사의 피투자기업인삼성바이오에피스의 지분을 501주까지 매입할 있는 콜옵션을 보유하고있었으며  6월 29일 이를 행사하였습니다
2022.0,본 자산양수도는  6월 29일 주요사항보고서타법인 주식 출자증권 양도결정에 사항이며  11월 7일 주권양수도 대금지급이 완료되어 본거래가 종료되었습니다
2022.0,구분일자주주간 계약 체결 12월 6일외부평가기관 평가 6월 22일   6월 29일주요사항보고서 제출일 6월 29일주권양수도 대금지급일 11월 7일2 삼성바이오에피스 지분 양수 당사는 Biogen Therapeutics Inc가 보유한 삼성바이오에피스의 지분 주를 추가 취득하고자  1월 28일 주식매매계약을 체결하였으며  4월 20일 주 취득을 완료하여 지분 100를 확보하고 지배력을 획득하였습니다
2022.0,본 지분 양수 관련 상세 내용은  1월 28일 최초 공시된 주요사항보고서타법인주식 출자증권 양수결정를 참고하시기 바랍니다
2022.0,구분일자주주간 계약 체결 1월 28일외부평가기관 평가 12월 21일   1월 28일주요사항보고서 제출일 1월 28일주권양수도 대금지급일 4월 20일사 회사의 업종 또는 주된 사업의 변화해당사항 없습니다
2022.0,
2022.0,보통주식 주를 신규 발행하여 당분기말 발행주식총수는 보통주식 주입니다
2022.0,4 주식의 총수 등가 주식의 총수 현황기준일   09월 30일단위  주구  분주식의 종류비고보통주우선주합계  발행할 주식의 총수  현재까지 발행한 주식의 총수   현재까지 감소한 주식의 총수 1 감자 2 이익소각 3 상환주식의 상환 4 기타  발행주식의 총수   자기주식수        유통주식수  나 자기주식 취득 처분 현황해당사항 없습니다
2022.0,5 정관에 사항정관 변경 이력정관변경일해당주총명주요변경사항변경이유 03월 22일제8기정기주주총회제8조 주식의 종류 항 삭제제8조의 2 주식 신주인수권증서에 표시 되어야 권리의 전자등록 신설제9조 명의개서대리인 항 개정제10조 주주 등의 주소 성명 인감 또는 서명 신고 삭제 제17조의2 사채 신주인수권증에 표시되어야 권리의 전자등록 신설제18조 사채발행에 준용규정 개정에 따른 조항 정비제33조 이사의 직무 항 개정제42조 감사위원회의 구성 항 신설제43조 감사위원회의 직무 등 항 개정 주식전자등록의 의무화에   변경내용 반영삭제 대표이사감사위원회 위원 유고로 인한   이사회 탄력 운영 예외규정 반영 외감법 개정에 외부감사인 선정권한의   변경내용을 반영 사업보고서에 첨부된 정관의 최근개정일은 이며  개최한 제11기 정기주주총회 안건 정관 변경은 없습니다
2022.0,II 사업의 내용1 사업의 개요당사가 영위하는 사업은 CDMO부문과 바이오의약품 개발 상업화 부문으로 나뉘어져 있습니다
2022.0,당사는  4월 20일 삼성바이오에피스의 주식 주를 취득하여 당분기말 지분율 100를 보유함에 따라 삼성바이오에피스를 바이오의약품 개발 상업화 부문으로 구분하였습니다
2022.0,당사는  연 매출 1조 을 달성하였으며 CDMO 사업부문의 항체의약품 제품 매출은 1조  서비스 매출은 입니다
2022.0,1 CDMO 부문삼성바이오로직스는 바이오의약품을 위탁생산하는 CMO 사업 세포주개발 공정 제형 분석법 세포주 개발초기 임상까지 개발서비스를 제공하는 CDO사업 바이오시밀러 개발 상업화에 중점을 두고 사업을 영위 중입니다
2022.0,당사는 인천송도 경제자유구역송도지구에 상업용 생산설비 36만리터1공장 3만 2공장 15만 3공장 18만와 임상용 생산설비 4천리터로 총 364만리터의 Capacity를 확보하여 글로벌 바이오 CMO로 부상하였습니다
2022.0,또한 CDO 사업의 해외거점 확대 운영을 위해  미국에 종속기업 Samsung Biologics America Inc를 설립하였고 에는 모더나 mRNA 백신 완제DP 위탁 생산을 개시하는 CDO 완제DP 생산 사업 부문에서도 가시적인 사업 성과를 달성해나가고 있습니다
2022.0,까지 연평균 106의 성장성을 보이며 제약시장 성장을 견인할 것으로 전망되며 빠른 성장과 제약사들의 CMO 활용이 확대 추세에 있습니다
2022.0,Evaluate Pharma  기준 바이오 CDMO 시장 규모는 1 블록버스터 바이오 의약품 지속 개발 2 글로벌 제약사 중소형 바이오텍의 생산분야 아웃소싱 확대 3 제약사 대상 endtoend CDMO service 제공 니즈 증가 4 공급안정성 확보를 위한 dual sourcing 수요 확보 등의 성장 요인에 기인하여  기준 143억불에서 향후 5년간 연평균 101 성장해  기준 203억불 규모로 성장할 것으로 전망됩니다
2022.0, 기준 글로벌 생산 거점 30만리터 규모의 생산 Capa를 운영 중인 회사는 총 3개사로 당사를 비롯해 스위스에 본사를 둔 Lonza 독일 Boheringer Ingelheim이 있습니다
2022.0,당사는 현재 364만리터 생산설비를 가동 중이며 향후 까지 24만리터 규모의 4공장을 순차적으로 준공하여 글로벌 최대 규모의 생산 리더십을 지속 유지해 나갈 전망입니다
2022.0,당사는 항체의약품 CMO 중심 서비스에서 글로벌 종합 바이오기업으로 도약하기 위해 사업 영역을 CDO 서비스 mRNA 세포유전자치료제 생산 다양한 분야로 확장해나가고 있습니다
2022.0,CDO 서비스는 자체 세포주 공정개발 시설이 없거나 부족한 중소 제약사 등을 대상으로 세포주공정 제형개발 서비스를 제공하는 위탁 개발 서비스입니다
2022.0,당사는 업계 평균대비 배 향상된 세포 생존력과 개선된 증식력을 보여주는 자체 개발 세포주 에스초이스SCHOice 개발에 성공하였고 개발 단계별로 표준화된 프로세스를 통해 개발기간을 혁신적으로 단축시킨 위탁 개발 플랫폼 에스셀러레이트SCellerate를 런칭하였습니다
2022.0, 10월에는 미국 대표 바이오 클러스터인 샌프란시스코에 의약품 위탁 개발 RD 센터를 열었고 보스턴유럽중국 등에도 순차적으로 진출을 검토중에 있습니다
2022.0,또한 빠르게 부상하는 시장의 수요를 충족하기 위해 기존 공장내 mRNA 생산시설을 증설하였고  4월에 우수 의약품 제조 품질관리 기준 cGMP 준비를 완료하였습니다
2022.0,이외 추가적으로 세포유전자치료제와 관련하여 기초 경쟁력을 확보할 목적으로  기술 동향 시장성 수익성 등을 전반적으로 고려해 건설 MA 포함 다양한 옵션을 검토 중에 있습니다
2022.0,2 바이오의약품 개발 상업화 부문삼성바이오에피스는 바이오의약품 개발 상업화에 중점을 두고 사업을 영위하고 있으며 자가면역질환 종양질환 안과질환 혈액질환 다양한 질병 분야에 대한 연구개발을 추진중입니다
2022.0, 회사 설립 이후 현재까지 바이오시밀러 6종레미케이드 허셉틴 엔브렐 휴미라 아바스틴 루센티스 시밀러을 출시하였으며 미국 유럽 캐나다 호주 브라질 전세계에 걸쳐 판매가 활발히 진행되고 있습니다
2022.0,이처럼 당사는 자가면역질환 종양질환에 이어 안과질환까지 바이오시밀러 제품 승인 상업화에 성공하였습니다
2022.0,당사는 바이오시밀러 개발 상업화 경험을 바탕으로 향후 사업을 확대하고 혁신을 지속해 나갈 것입니다
2022.0,단위  백만원부 문구 분제12기 3분기제11기제10기금액비중금액비중금액비중CDMO1매출액      영업손익   자산   바이오의약품 개발 상업화11매출액영업손익2 자산계1매출액      영업손익   자산    상기 실적은 한국채택국제회계기준에 연결기준으로 작성되었습니다
2022.0,1 당사는  4월 20일 삼성바이오에피스의 지분 주를 추가 취득하여 지분 100를 확보하고 지배력을 획득하였으며 이에 삼성바이오에피스의 주된 영업활동인 바이오의약품 개발 상업화를 별도 영업부문으로 구분하였습니다
2022.0,2 사업결합으로 인해 식별 가능한 자산의 공정가치에 대한 상각비 영향은 바이오의약품 개발 상업화부문에 반영되었습니다
2022.0,2 주요 제품 서비스가 주요 제품 등의 현황  단위  억원사업부문매출유형품목도 3분기 제12기도 제11기도제10기금액비중금액비중금액비중CDMO제품 등항체의약품서비스기타바이오의약품 개발 상업화1제품 등바이오시밀러합 계 상기 실적은 한국채택국제회계기준에 연결기준으로 작성되었습니다
2022.0,1 당사는  4월 20일 삼성바이오에피스의 지분 주를 추가 취득하여 지분 100를 확보하고 지배력을 획득하였으며 이에 삼성바이오에피스의 주된 영업활동인 바이오의약품 개발 상업화를 별도 사업부문으로 구분하였습니다
2022.0,나 주요 제품 등의 가격변동 추이1 CDMO 부문당사가 생산하게 될 제품의 판매가격은 고객사와의 계약에 결정된 최초 판매가격에 매년 공시되는 CPI소비자물가지수를 반영한 비율에 조정되거나 계약에서 정한 고정비율만큼 상승하는 계약조건에 조정될 있습니다
2022.0,2 바이오의약품 개발 상업화 부문     당사는 직접 판매 채널의 시장 상황에 판매 가격을 조정하는 한편 유통사를 통한 간접 판매의 유통사와의 계약에 제품의 국가별 시장가격 공제항목 파트너사 마진을 고려하여 제품가를 산정하고 있습니다
2022.0,3 원재료 생산설비가 주요 원재료 매입 현황단위  억원사업부문매입유형품 목매입액비 고 매입처CDMO원재료Resin 등3758 Life Technologies Corporation Global Life Sciences Solutions Singapore 씨그마알드리치코리아 등부재료Filter 등1900 머크 주식회사 싸토리우스코리아바이오텍 주식회사 아이마켓코리아 등바이오의약품 개발 상업화원재료Resin 등365 소모품Syringe 등201 합 계6224 CDMO 산업은 고객사로부터 BOMBill of Material에 속하는 원부재료비 전액 Handling Fee를 환급받는 구조를 취하고 있습니다
2022.0,바이오의약품 개발 상업화 부문은 사업의 특성상 매입처에서 주문 생산방식으로 조달하고 있으며 주요 매입처의 경쟁상황 상호 계약내용에 상세 내용 기재를 생략하였습니다
2022.0,나 원재료 가격변동 추이 가격변동 원인1 CDMO 부문삼성바이오로직스가 생산하는 의약품에 투입되는 주요 원재료는 품질관리 등의 사유로 고객사로부터 확인받거나 또는 고객사가 지정하는 거래처를 통해 구매가 이루어지며 구매한 원재료 부대비용에 대해서는 고객사로부터 대부분 사전 또는 사후 정산환급이 이루어집니다
2022.0,한편 당사는 원재료 공급처와 장기공급계약을 체결하여 안정적인 원재료를 공급받고 있으며 가격인상과 관련하여 매년 물가상승률약 12 수준의 인상률을 적용하는 등의 계약조건으로 인해 가격변동과 관련한 위험은 제한적입니다
2022.0,2 바이오의약품 개발 상업화 부문바이오의약품 주요 원재료는 중장기적 공급진행으로 가격 유동성이 낮고 경기 흐름에 영향을 덜 받는 품목 특성을 가지고 있습니다
2022.0,일부 품목에서 발생한  COVID19에 따른 글로벌 공급 리스크는 거래선의 협력과 밀접관리를 통해 많이 해소되었고  2분기부터 안정적 공급 상황이 유지되고 있습니다
2022.0,최근 물류 비용 증가 인플레이션과 미화 환율 급등으로 인한 원자재 가격 상승에 대응하기 위해 당사는 원부자재 공급업체와의 긴밀한 협력을 통해 안전재고의 확보와 총 비용 증가 억제에 주력하고 있습니다
2022.0,생산능력 생산실적 가동률당사 CDMO 부문은 원제Drug Substance 생산 공장별 정기점검Slowdown기간  제품 교체Product Changeover기간을 고려하여 생산 가능시간을 산정하고 이를 주요 생산설비의 실제 가동정지시간으로 구분하여 가동률을 산출합니다
2022.0,단위  배치구  분도 3분기제12기도제11기도제10기생산능력생산실적가동률라 생산설비에 사항1 생산설비 현황단위 백만원자산별기초취득사업결합으로 인한 취득처분상각기타증감기말비고토지주1건물구축물기계장치차량운반구기타유형자산건설중인자산합 계주1당사는 인천광역시와 임대차계약을 체결하여 인천광역시의 공유재산관리조례에 의한 임대료 감면 요건을 충족함에 일부 토지에 대한 임대료를 면제 받고 있음 주요 유형자산에 대한 객관적인 시가판단이 어려워 기재를 생략하였습니다
2022.0,상기 생산설비 현황은 한국채택국제회계기준에 연결기준으로 작성되었습니다
2022.0,2 투자현황단위 억원사업부문구 분투자기간대상자산투자액CDMO신증설 보완 등 생산설비 등 매출 수주상황가 매출 실적1 유형별 매출실적단위  억원사업부문매출유형품목도 3분기제12기도제11기도제10기금액비중금액비중금액비중CDMO제품 등항체의약품서비스기타바이오의약품개발 상업화1제품 등바이오시밀러합 계 상기 실적은 한국채택국제회계기준에 연결기준으로 작성되었습니다
2022.0,1 당사는  4월 20일 삼성바이오에피스의 지분 주를 추가 취득하여 지분 100를 확보하고 지배력을 획득하였으며 이에 삼성바이오에피스의 주된 영업활동인 바이오의약품 개발 상업화를 별도 사업부문으로 구분하였습니다
2022.0,2 주요 지역별 매출실적단위  억원구  분도 3분기제12기도제11기도제10기금액비중금액비중금액비중국내유럽미주기타합  계 상기 실적은 한국채택국제회계기준에 연결기준으로 작성되었습니다
2022.0,나 판매경로1 CDMO 부문삼성바이오로직스가 영위하는 CMO사업은 수주산업으로 고객사와 수주계약을 체결하는 것이 당사 영업에 가장 중요한 부분이라고 있습니다
2022.0,수주에는 약 612개월고객사의 제안요청을 접수한 날부터 계약체결까지의 기간이 소요되며 수주업무의 진행절차는 다음과 같습니다
