date,company,text
2022-12-09,연합뉴스,SK바이오팜 뇌전증 신약 세노바메이트 프랑스 출시  연합뉴스
2022-12-09,연합뉴스,서울연합뉴스 조승한 기자  SK바이오팜326030은 뇌전증 치료제 세노바메이트가 프랑스에서 발매 허가를 받았다고 9일 밝혔다
2022-12-11,에너지경제신문,SK바이오팜 뇌전증 치료신약 유럽 5대국 출시 성공
2022-12-11,에너지경제신문,에너지경제신문 김철훈 기자 SK바이오팜이 자체 개발한 뇌전증 치료 신약 세노바메이트를 영국 프랑스 독일 이탈리아 스페인 유럽 5대 경제대국에서 출시하는데
2022-12-09,머니투데이,SK바이오팜 세노바메이트 프랑스 출시유럽 5대 경제국 진출 성공  머니투데이
2022-12-09,머니투데이,SK바이오팜은 혁신 신약 세노바메이트가 프랑스에서 발매 허가받으며 독일과 영국 이탈리아 스페인 유럽 5대 경제대국 진출에 성공했다고 9일 밝혔다 세노바메
,팜이데일리,화제의 바이오바이오 투자 베테랑 이동훈 SK바이오팜 사장
,팜이데일리,이동훈 SK바이오팜 대표이사 사장 사진SK바이오팜이데일리 김새미 기자 이동훈 SK바이오팜326030 신임 사장이 선임되면서 향후 SK바이오팜의 사업 방향에 바이오업계의 관심이 쏠리고 신임 사장이 바이오 투자 베테랑인 SK바이오팜이
2022-12-05,newsis,SK바이오팜  뇌전증학회서 발작 감지 웨어러블 장치 연구 발표
2022-12-05,newsis,서울뉴시스황재희 기자  SK바이오팜은 지난 2일부터 미국 테네시주 내슈빌에서 열리고 있는 미국뇌전증학회AES 2022 연례회의에서 분당서울대병원이 SK바이오팜 자체 개발 다중 생체신호 기반 웨어러블 디바이스를 이용한 첫 연구 사례를 발표했다고 5일 밝혔다
,µðÁöÅÐÅ¸ÀÓ½º,SK 1
,µðÁöÅÐÅ¸ÀÓ½º,SK  5   59    1
2022-12-01,,SK바이오팜 신사업 개발 투자 위한 인사 단행
2022-12-01,,이동훈 SK 바이오 투자센터장 SK바이오팜 사장으로 선임JV 프로테오반트 설립 CDMO 이포스케시 인수 주도
2022-12-09,일요신문 ,엑스코프리 든든하지만 새 선장 영입 SK바이오팜 기대와 우려
2022-12-09,일요신문 ,일요신문 SK바이오팜이 간판 제품인 뇌전증 신약 엑스코프리를 앞세워 매출을 끌어올리고 있지만 제품에 치중된 이익 구조를 개선해야 한다는 지적이 나온다 증권가에서는 올해 SK바이오팜의 적자 규모를 1100억 원대로 예상하고 엑스코프리 판매 실적이 올라가면 자연스럽게 수익성도 개선될 것이란 전망이다 영업실적 개선을 도와줄 창
