date,company,text
2022-12-11,newsis,삼성바이오로직스 다우존스 지속가능경영 월드 지수 2년 연속 편입
2022-12-11,newsis,서울뉴시스황재희 기자  삼성바이오로직스는 글로벌 ESG환경사회지배구조 대표 평가 지표인 다우존스 지속가능경영 월드 지수Dow Jones Sustainability Indices World에 2년 연속 편입됐다고 11일 밝혔다
2022-12-09,매일경제,삼성바이오로직스 손보연조성일 상무 승진 발표  매일경제
2022-12-09,매일경제,삼성바이오로직스와 삼성바이오에피스가 성과주의에 기반한 임원 인사를 단행했다 인사에는 손보연 삼성바이오로직스 상무신지은 삼성바이오에피스 상무 여성과 젊은 임원이 눈에 띄었다 9일 삼성바이오로직스는 손보연 상무와 조성일 상무가 신규 임원으로 승진했다고 밝혔다 손 상무는 여성 인재가 드문 플랜트 건설 분야에서 의약품 제조공정 설계팀을 이끈 성과를
2022-12-09,,삼성바이오로직스 정기 임원 인사손보연조성일 상무 승진
2022-12-09,,조직개편 보직인사 실시할
2022-12-09,데일리한국,존림 삼성바이오로직스 사장 유임 확정내년에도 회사 이끈다
2022-12-09,데일리한국,데일리한국 최성수 기자존림 삼성바이오로직스 대표이사사장가 내년에도 회사를 이끈다삼성바이오로직스는 존림 사장의 유임이 확정됐다고 9일 밝혔다림 사장은 2018년 삼성바이오로직스에 합류해 3공장 운영을 총괄했다 이후 2020년 12월 대표이사로 취임해 삼성바이오로직스를 이끌어왔다그는 대표직을 맡아 리더십과 역량을 인정받았다는 평가를 받아왔다 실제로 대표 취임후 삼성바이오로직스는 지난해 매출 1조5000억원을 넘기며 사상 최대 실적을 경신했다 올해도 사상최대 실적 경신 기록을 이어가며 올해 3분기 누적 매출액이 2
2022-12-09,newsis,존림 삼성바이오로직스 사장 유임삼바 계속 이끈다
2022-12-09,newsis,서울뉴시스황재희 기자  존림 삼성바이오로직스 사장이 유임에 성공하면서 대표직을 유지하게 됐다
2022-12-09,중앙일보,성과주의삼성 계열사 여부사장80년대생 임원 대거 탄생  중앙일보
2022-12-09,중앙일보,삼성물산에서는 창사 첫 여성 부사장이 2명이나 탄생했다
2022-12-10,세계일보,사업성과 인정 받았다 존림 삼성바이오로직스 사장 유임
2022-12-10,세계일보,존림 삼성바이오로직스 사장이 유임에 성공하면서 대표직을 유지하게 됐다 9일 관련 업계에 따르면 존림 사장의 유임이 최근 결정됐다 계약기간은 비공개다 존림 사장은 2018년 부사장으로 삼성바이오로직스에 합류한 뒤 2020년 12월 사장으로 승진했다 업계에서는 존림
2022-12-09,한겨레,100억 불법대출 삼성증권결국 솜방망이 처벌
2022-12-09,한겨레,금융당국 의혹제기 2년 만에 경징계
2022-12-09,매경헬스,인사 삼성바이오로직스 삼성바이오에피스 삼성서울병원
2022-12-09,매경헬스,삼성바이오로직스와 삼성바이오에피스 삼성서울병원이 2023년 임원인사를 단행했다삼성바이오로직스는 여성 인재가 드문 플랜트 건설 분야에서 의약품 제조공정 설계팀을 이끌며 특출난 성과를 창출하고 있는 손보연 상무 전사 IT시스템 운영 혁신 프로젝트를 성공적으로 추진해 온 조성일 상무가 신규 임원으로 승진됐다 삼성바이오로직스는 임원인사에 이어 조만간 조직개편 보직인사도 실시할 예정이다삼성바이오에피스는 성과주의 인사 원칙에 김정욱 부사장법무팀장 백인영임상4그룹장 신지은MS2그룹장 이기현 상무ESG
2022-12-09,지디넷코리아,삼성바이오로직스삼성바이오에피스 임원 인사연공서열 탈피성과주의
2022-12-09,지디넷코리아,삼성바이오로직스와 삼성바이오에피스 삼성서울병원이 정기 임원 승진 인사를 단행했다우선 삼성바이오는 손보연 코퍼레이트 엔지니어링 팀장을 상무로 승진시켰다 1978년생인 손
,inews24,삼성바이오로직스 quot콜옵션 가치평가는 전문적 영역middotmiddotmiddot회계법인에 의존quot
,inews24,아이뉴스24 민혜정 기자 이재용 삼성전자 회장의 삼성물산과 제일모직간 부당합병 의혹 재판에서 삼성바이오로직스삼바가 당시 합작사삼성바이오에피스를 세웠던 바이오젠의 콜
2022-12-10,,삼성바이오로직스 정기 임원 인사손보연조성일 상무 승진
2022-12-10,,더퍼블릭  이유정 기자 삼성바이오로직스는 비즈니스 성과를 극대화하고 글로벌 선진 제약사로의 도약을 가속화하기 위해 철저한 성과주의를 근간으로 2023년 임원인사를 단행했다고 9일 밝혔다이번 임원인사에서  손보연 상무와 조성일 상무가 새로운 임원으로 승진했다손
2022-12-09,머니투데이,삼성 바이오 인사도 안정에 방점존림고한승 연임  머니투데이
2022-12-09,머니투데이,내년 삼바 존림 사장 임기 3년차에피스 고한승 사장 12년차 돌입삼성그룹 바이오 계열사 수장들이 이재용 회장 취임 첫 정기인사에서 연임했다 금융 계
2022-12-02,머니S,BA5 모더나 백신 긴급사용승인 삼성바이오로직스 생산  머니S
2022-12-02,머니S,신종 코로나바이러스 감염증코로나19 국내 우세종인 오미크론 BA5 변이에 대응할 있는 모더나의 개량백신이 긴급사용승인을 받았다 앞서 지난 10월 화이자의 BA45 백신이 승인돼 국내에서 활용되고 있는 가운데 번째 BA45 대응용 백신이 등장
2022-12-09,(주)블로터앤미디어,삼성SK셀트리온이 주도한 의약품 수출 실적 향후 이끌까
2022-12-09,(주)블로터앤미디어,사진픽사베이  2023년 보건산업 수출 실적이 제품군에 희비가 엇갈릴 것이라는 전망이 나왔다 그간 의약품 수출 실적 성장을 견인한 삼성바이
2022-12-07,이코노믹리뷰,글로벌 알츠하이머 신약 경쟁 승자는 삼성바이오로직스
2022-12-07,이코노믹리뷰,글로벌 제약사 바이오젠에자이 일라이릴리 등이 알츠하이머 신약 개발 분야에서 성과를 내고 신약 허가를 획득할 시 대규모 항체 의약품 수요가 발생해 바이오의약품 위탁개발생산CDMO을 전문으로 삼성바이오로직스207940에 긍정적인 영향을 것으로 보인다레카네맙도나네맙 3상서 긍정적 데이터 확보7일 업계에 따르면 바이오젠에자이와 릴리는 개발 중인 알츠하이머 신약 후보물질 레카네맙과 도나네맙과 관련한 주요 임상 3상에서 긍정적인 데이터를 확보했다바이오젠에자이는 레카네맙 글로벌 임상 3상 세부
2022-12-11,핀포인트뉴스,바이오K뉴딜 주간동향 한미사이언스 한주간 831 상승 미소
2022-12-11,핀포인트뉴스,핀포인트뉴스 한강희 기자 11일 한국거래소에 따르면 지난 9일 KRX 바이오 K뉴딜지수 구성종목 시가총액은 122조4916억원을 기록해 12월 2일 시가총액 123조8731억원과 비교해 1조3815억원 감소한 것으로 나타났다이들 구성 종목 한미사이언스 종목은 지난 한주간 831 상승해 KRX바이오 K뉴딜 구성 종목 주간 상승률 1위를 기록했다 한미사이언스 뒤를 이어 한미약품 셀트리온 종목이 589 374씩 상승해 상승률 상위권에 이름을 올렸다한편 삼성바이오로직스 종목은 494를 기록해
2022-12-05,이투데이,특징주 삼성바이오로직스 3거래일째 하락세장후반 4대
2022-12-05,이투데이,삼성바이오로직스가 장후반 4대 하락세를 보이고 있다5일 유가증권시장에서 삼성바이오로직스는 거래일보다 4253만7000원 하락한 83만3000원
2022-12-11,핀포인트뉴스,투자주체 매매동향 외국인투자자 한주간 삼성SDI등 2차전지 관련주 사들여
2022-12-11,핀포인트뉴스,핀포인트뉴스 한강희 기자 11일 한국거래소에 따르면 지난 한주간 외국인투자자들은 유가증권시장에서 삼성SDI 주식을 집중 매수한 것으로 나타났다외국인투자자들은 삼성SDI 주식을 한주간 1017억원14만주 사들이며 순매수 1위를 기록했다뒤를 이어 LG화학 577억원 POSCO홀딩스 547억원을 사들이며 순매수 상위권에 이름을 올렸다반면 삼성전자 SK하이닉스 LG이노텍 등은 처분했다다음은 지난 한주간 외국인과 기관 개인투자자들의 시장별 순매수 순매도 상위종목이다외국인 유가증권시장 순매수 상위 종목
2022-12-08,이투데이,굵직굵직 제약바이오 CEO들 연임일까 아닐까
2022-12-08,이투데이,왼쪽부터 존림 삼성바이오로직스 사장 기우성 셀트리온 부회장 성석제 제일약품 사장 권세창 한미약품 사장 신영섭 JW중외제약 사장 사진제공
,팜이데일리,삼성바이오로직스3년만 매출 27배 예상3가지 근거
,팜이데일리,삼성바이오로직스207940가 3년 만에 매출액이 27배 성장할 것이란 전망이 나왔다삼성바이오로직스 3공장 전경사진삼성바이오로직스25일 금융투자업계에 따르면 삼성바이오로직스의 오는 2024년 매출액은 4조1726억원에 이를 전망이다 지난해 삼성
2022-11-24,지디넷코리아,삼성바이오 ESG 부문서 A등급 받아
2022-11-24,지디넷코리아,삼성바이오로직스가 한국ESG기준원KCGS에서 발표한 2022년 상장기업 ESG 평가 등급 공표 결과에서 부문 A등급 이상을 받았다 2년 연속 종합평가 A등급이다
2022-12-10,베타뉴스:경제신문의 새로운 지평,코스피 기관 순매수도 상위 10종목9일삼성전자NAVERSK하이닉스  베타뉴스
2022-12-10,베타뉴스:경제신문의 새로운 지평,9일 코스피 시장에서 외국인은 카카오 SK하이닉스 POSCO홀딩스 NAVER LG화학 신한지주 포스코케미칼 LG에너지솔루션을 집중 매수했다  반면 현대차 삼성SD
,,ESG
,,ESG
2022-11-28,서울경제,삼성바이오로직스 빅파마의 베스트 프랜드Why 바이오
2022-11-28,서울경제,삼성바이오로직스207940가 글로벌 제약사들의 파트너로 선호되며 바이오의약품 시장의 성장에 의약품 위탁생산CMO이
2022-12-02,newsis,한국바이오협회 호주와 바이오산업 협력 구체화
