date,company,text
2022-12-08,newsis,셀트리온 인천 스타트업파크 사업 상생협력 실현
2022-12-08,newsis,서울뉴시스 송연주 기자  셀트리온은 2020년부터 참여한 스타트업파크 조성 사업에서 유망한 바이오 스타트업과의 오픈 이노베이션을 통해 의미 있는 성과를 도출하고 있다고 8일 밝혔다
2022-12-10,이투데이,셀트리온 이어 STX 잇단 패소판결 굳어지는 일감몰아주기 과세
2022-12-10,이투데이,강덕수  STX 회장 26억원대 증여세 소송서 최종 패소대법 내부거래 매출비중 30 넘으면 증여세 부과 정당서정진 셀트리온 회장도 132억 증여세
2022-12-11,핀포인트뉴스,코스피 주간동향 삼성전자LG이노텍SK하이닉스셀트리온SK 금융투자 순매수 TOP5
2022-12-11,핀포인트뉴스,핀포인트뉴스 엄현식 기자 11일 한국거래소 정보데이터시스템에 따르면 삼성전자 LG이노텍 SK하이닉스 셀트리온 SK가 12월 둘째주59일 코스피 금융투자 순매수 부문에서 상위권을 기록했다이번 삼성전자의 거래대금 순매수는 2293억4225만원 거래량 순매수는 382만8278주다이어서 LG이노텍의 거래대금 순매수는 543억8035만원 거래량 순매수는 18만6087주다SK하이닉스의 거래대금 순매수는 398억990만원 거래량 순매수는 49만6930주다셀트리온과 SK의 거래대금거래량 순매수는
2022-12-09,(주)블로터앤미디어,삼성SK셀트리온이 주도한 의약품 수출 실적 향후 이끌까
2022-12-09,(주)블로터앤미디어,사진픽사베이  2023년 보건산업 수출 실적이 제품군에 희비가 엇갈릴 것이라는 전망이 나왔다 그간 의약품 수출 실적 성장을 견인한 삼성바이
2022-12-11,이데일리,코스닥 개인 순매도 1위 셀트리온헬스케어
2022-12-05,연합뉴스,셀트리온 아태 학회서 램시마 장기투여 안전성유효성 확인  연합뉴스
2022-12-05,연합뉴스,서울연합뉴스 조승한 기자  셀트리온068270은 6일부터 9일까지 홍콩에서 열리는 아시아태평양 류머티스학회APLAR에서 자가면
2022-12-09,,토종 제약바이오기업 최초 매출 2조원 눈  조세일보
2022-12-09,,셀트리온대표 기우성 부회장이 지난 6일 조세일보 주최로 열린 제5회 납세대상 제약바이오부문에서 대상을 수상하는 영예
2022-12-08,연합뉴스,셀트리온 인천 스타트업파크서 바이오 스타트업과 협력 성과  연합뉴스
2022-12-08,연합뉴스,서울연합뉴스 조승한 기자  셀트리온068270은 인천 스타트업파크 조성사업에 참여한 스타트업과 오픈 이노베이션을 통해 성과를 내고
2022-12-09,이코노믹리뷰,셀트리온 영업익 8000억원 육박 가능성시밀러 곳곳에 공급
2022-12-09,이코노믹리뷰,셀트리온068270 영업이익이 올해 8000억원에 육박하고 연매출은 창사 처음으로 2조원을 돌파할 것으로 보인다유통을 담당하고 있는 셀트리온헬스케어091990는 기존 주력 제품 판매 호조에 기반을 두고 신제품 유플라이마성분명 인플릭시맙 베그젤마성분명 베바시주맙 미국향 램시마SC성분명 인플릭시맙피하주사제형 판매 확대에 속도를 방침이다9일 기업 금융정보제공업체 에프엔가이드에 따르면 셀트리온 연간 실적 컨센서스시장 예상치는 매출 2조3985억원 영업이익 7724억원이다 전년 매출 1
,팜이데일리,셀트리온 아태 학회서 램시마 장기투여 안전성유효성 재확인
,팜이데일리,셀트리온068270은 아시아태평양 류마티스학회APLAR Asia Pacific League of Associations for Rheumatology에서 램시마 장기 투여 효능 관찰 연구에서 안전성 확인과 유효성 지표가 개선됐다는 결과를 포스터 발표를 통
2022-12-09,머니S,셀트리온삼성바이오에피스 23조 바이오시밀러 시장 진출 눈앞  머니S
2022-12-09,머니S,2021년 미국내 매출만 23조원 미국 제약바이오 기업 애브비의 자가면역 질환 치료제 휴미라성분명 아달리무맙 시장 규모다 국내 바이오 기업 가운데 셀트리온과 삼성바이오에피스는 내년 7월 휴미라 바이오시밀러바이오의약품 복제약 시장 진입을 앞두고
2022-12-09,이코노믹리뷰,셀트리온 영업익 8000억원 육박 가능성시밀러 곳곳에 공급
2022-12-09,이코노믹리뷰,셀트리온068270 영업이익이 올해 8000억원에 육박하고 연매출은 창사 처음으로 2조원을 돌파할 것으로 보인다유통을 담당하고 있는 셀트리온헬스케어091990는 기존 주력 제품 판매 호조에 기반을 두고 신제품 유플라이마성분명 인플릭시맙 베그젤마성분명 베바시주맙 미국향 램시마SC성분명 인플릭시맙피하주사제형 판매 확대에 속도를 방침이다9일 기업 금융정보제공업체 에프엔가이드에 따르면 셀트리온 연간 실적 컨센서스시장 예상치는 매출 2조3985억원 영업이익 7724억원이다 전년 매출 1
2022-12-07,,KB증권 내년 주목할 종목은 삼성전자셀트리온한화솔루션
2022-12-07,,유튜브 채널서 금융시장 전망 유망업종 제시
2022-11-28,newsis,셀트리온 램시마SC 진출 초읽기임상 2건 효능 확인
2022-11-28,newsis,서울뉴시스 송연주 기자  셀트리온은 28일 자가면역질환 치료제 램시마SC개발명 CTP13 SC의 미국 시장 진출을 위해 진행한 2건의 글로벌 임상 3상에서 유효성과 안전성을 입증했다고 밝혔다
,팜이데일리,셀트리온 내년 바이오시밀러 성장으로 영업이익 1조 육박 전망
,팜이데일리,셀트리온068270이 급격한 바이오시밀러 사업 성장으로 내년 영업이익이 1조원에 육박할 것이란 전망이 나왔다셀트리온 연구원이 바이오시밀러 제제를 연구개발하고 제공셀트리온5일 금융투자업계에 따르면 셀트리온의 내년 매출액은 2조7200억원
2022-11-30,머니S,진출 앞둔 램시마SC 셀트리온 특허권 확보 총력  머니S
2022-11-30,머니S,셀트리온이 자가면역질환 치료제 램시마SC의 특허 장벽 쌓기에 집중하고 램시마SC는 인플릭시맙 성분의 최초 피하주사SC 제형으로 셀트리온은 2018년부터 미국과 유럽 아시아 주요 국가에 램시마SC의 제형과 투여법에 특허를 출원해 왔다
